File: TestRepresentative3dNodeBasedSimulation
Type: cpu
Showing nodes accounting for 21398ms, 91.75% of 23323ms total
Dropped 601 nodes (cum <= 116.61ms)
      flat  flat%   sum%        cum   cum%
         0     0% 88.23%      203ms  0.87%  vtkDemandDrivenPipeline::ProcessRequest
         0     0% 88.23%      203ms  0.87%  vtkStreamingDemandDrivenPipeline::Update
         0     0% 88.23%      203ms  0.87%  vtkXMLWriterBase::Write
         0     0% 88.23%      201ms  0.86%  vtkCompositeDataPipeline::ExecuteData
         0     0% 88.23%      201ms  0.86%  vtkDemandDrivenPipeline::ExecuteData
         0     0% 88.23%      201ms  0.86%  vtkExecutive::CallAlgorithm
         0     0% 88.23%      201ms  0.86%  vtkStreamingDemandDrivenPipeline::ProcessRequest
         0     0% 88.23%      201ms  0.86%  vtkXMLUnstructuredDataWriter::ProcessRequest
     193ms  0.83% 89.06%      193ms  0.83%  [libchaste_cell_based.so]
         0     0% 89.06%      191ms  0.82%  NodesOnlyMesh::ResizeBoxCollection
      36ms  0.15% 89.22%      189ms  0.81%  NodesOnlyMesh::IsANodeCloseToDomainBoundary
     188ms  0.81% 90.02%      188ms  0.81%  Node::GetIndex
      67ms  0.29% 90.31%      178ms  0.76%  __GI___libc_free
      20ms 0.086% 90.40%      171ms  0.73%  Cell::ReadyToDivide
         0     0% 90.40%      171ms  0.73%  vtkXMLUnstructuredDataWriter::WriteAPiece
         0     0% 90.40%      171ms  0.73%  vtkXMLUnstructuredGridWriter::WriteAppendedPieceData
         0     0% 90.40%      167ms  0.72%  vtkXMLUnstructuredDataWriter::WriteAppendedPieceData
     153ms  0.66% 91.05%      153ms  0.66%  [libchaste_mesh.so]
       4ms 0.017% 91.07%      147ms  0.63%  AbstractCentreBasedCellPopulation::AcceptCellWritersAcrossPopulation
       1ms 0.0043% 91.07%      138ms  0.59%  vtkXMLWriter::WriteBinaryData
      22ms 0.094% 91.17%      137ms  0.59%  DistributedBoxCollection::GetIsPeriodicAllDims
         0     0% 91.17%      132ms  0.57%  vtkXMLWriter::WriteBinaryDataBlock
         0     0% 91.17%      132ms  0.57%  vtkXMLWriter::WriteBinaryDataInternal
         0     0% 91.17%      132ms  0.57%  vtkXMLWriter::WriteCompressionBlock
      14ms  0.06% 91.23%      127ms  0.54%  Cell::GetCellId
         0     0% 91.23%      121ms  0.52%  vtkXMLWriter::WritePointsAppendedData
       4ms 0.017% 91.24%      117ms   0.5%  AbstractCellPopulation::SetCellUsingLocationIndex
     117ms   0.5% 91.75%      117ms   0.5%  __ieee754_log_fma
         0     0% 91.75%      117ms   0.5%  compress2
         0     0% 91.75%      117ms   0.5%  vtkDataCompressor::Compress
         0     0% 91.75%      117ms   0.5%  vtkZLibDataCompressor::CompressBuffer
