File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3980ms, 79.68% of 4995ms total
Dropped 747 nodes (cum <= 24.98ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     4765ms 95.40%  __libc_start_call_main
         0     0%     0%     4765ms 95.40%  __libc_start_main_impl
         0     0%     0%     4765ms 95.40%  _start
         0     0%     0%     4748ms 95.06%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%     4748ms 95.06%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%     4748ms 95.06%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%     4748ms 95.06%  main
         0     0%     0%     4708ms 94.25%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%     4708ms 94.25%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%     4708ms 94.25%  TestRepresentativePottsBasedOnLatticeSimulation::TestPottsMonolayerCellSorting
         0     0%     0%     4697ms 94.03%  AbstractCellBasedSimulation::Solve
         0     0%     0%     4364ms 87.37%  AbstractCellPopulation::WriteResultsToFiles
      14ms  0.28%  0.28%     4126ms 82.60%  PottsBasedCellPopulation::WriteVtkResultsToFile
         0     0%  0.28%     1995ms 39.94%  VertexMeshWriter::WriteVtkUsingMesh
       2ms  0.04%  0.32%     1719ms 34.41%  VertexMeshWriter::MakeVtkMesh
         0     0%  0.32%     1321ms 26.45%  vtkPolygon::New
         0     0%  0.32%     1320ms 26.43%  vtkPolygon::vtkPolygon
       8ms  0.16%  0.48%      947ms 18.96%  vtkCell::vtkCell
         0     0%  0.48%      807ms 16.16%  VertexMeshWriter::WriteFiles
       3ms  0.06%  0.54%      803ms 16.08%  vtkPoints::New
      61ms  1.22%  1.76%      788ms 15.78%  std::ostream::_M_insert
         0     0%  1.76%      788ms 15.78%  std::ostream::operator<< (inline)
      14ms  0.28%  2.04%      768ms 15.38%  vtkPoints::vtkPoints
      46ms  0.92%  2.96%      700ms 14.01%  operator new
     207ms  4.14%  7.11%      656ms 13.13%  __GI___libc_malloc
      49ms  0.98%  8.09%      642ms 12.85%  std::num_put::_M_insert_float
       3ms  0.06%  8.15%      633ms 12.67%  vtkLine::New
       7ms  0.14%  8.29%      606ms 12.13%  vtkLine::vtkLine
         0     0%  8.29%      600ms 12.01%  vtkStreamingDemandDrivenPipeline::Update
         0     0%  8.29%      600ms 12.01%  vtkXMLWriterBase::Write
