File: TestChasteBuildInfo
Type: cpu
Showing nodes accounting for 35ms, 100% of 35ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%       33ms 94.29%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%       33ms 94.29%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%       33ms 94.29%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%       33ms 94.29%  __libc_start_call_main
         0     0%     0%       33ms 94.29%  __libc_start_main_impl
         0     0%     0%       33ms 94.29%  _start
         0     0%     0%       33ms 94.29%  main
         0     0%     0%       30ms 85.71%  CxxTest::RealWorldDescription::setUp
         0     0%     0%       30ms 85.71%  PetscInitialize
         0     0%     0%       30ms 85.71%  PetscSetup::setUpWorld
         0     0%     0%       30ms 85.71%  PetscSetupUtils::CommonSetup
         0     0%     0%       30ms 85.71%  PetscSetupUtils::InitialisePetsc
         0     0%     0%       29ms 82.86%  PMPI_Init_thread
         0     0%     0%       29ms 82.86%  ompi_mpi_init
       1ms  2.86%  2.86%       28ms 80.00%  <unknown>
         0     0%  2.86%       22ms 62.86%  orte_init
         0     0%  2.86%       15ms 42.86%  hwloc_topology_load
       1ms  2.86%  5.71%       13ms 37.14%  hwloc_linux_get_tid_last_cpu_location
         0     0%  5.71%        9ms 25.71%  mca_base_framework_open
         0     0%  5.71%        8ms 22.86%  __GI__dl_catch_exception
         0     0%  5.71%        8ms 22.86%  _dl_catch_error
         0     0%  5.71%        8ms 22.86%  _dlerror_run
       1ms  2.86%  8.57%        8ms 22.86%  mca_base_framework_components_register
         0     0%  8.57%        8ms 22.86%  mca_base_framework_register
         0     0%  8.57%        6ms 17.14%  ___dlopen
         0     0%  8.57%        6ms 17.14%  _dl_open
         0     0%  8.57%        6ms 17.14%  dl_open_worker
         0     0%  8.57%        6ms 17.14%  dl_open_worker_begin
         0     0%  8.57%        6ms 17.14%  dlopen_doit
         0     0%  8.57%        6ms 17.14%  dlopen_implementation (inline)
         0     0%  8.57%        5ms 14.29%  _dl_lookup_symbol_x
       4ms 11.43% 20.00%        5ms 14.29%  do_lookup_x
         0     0% 20.00%        5ms 14.29%  mca_base_component_find
         0     0% 20.00%        5ms 14.29%  mca_base_component_repository_open
         0     0% 20.00%        5ms 14.29%  opal_hwloc_base_get_topology
         0     0% 20.00%        5ms 14.29%  opal_stackframe_output
         0     0% 20.00%        5ms 14.29%  orte_ess_base_proc_binding
         0     0% 20.00%        4ms 11.43%  __GI___libc_malloc
       4ms 11.43% 31.43%        4ms 11.43%  _int_malloc
         0     0% 31.43%        3ms  8.57%  CxxTest::RealWorldDescription::tearDown
         0     0% 31.43%        3ms  8.57%  PetscFinalize
         0     0% 31.43%        3ms  8.57%  PetscSetup::tearDownWorld
         0     0% 31.43%        3ms  8.57%  PetscSetupUtils::CommonFinalize
         0     0% 31.43%        3ms  8.57%  XOpenDisplay
         0     0% 31.43%        3ms  8.57%  [hwloc_gl.so]
         0     0% 31.43%        3ms  8.57%  _XConnectXCB
       3ms  8.57% 40.00%        3ms  8.57%  __GI___libc_read
         0     0% 40.00%        3ms  8.57%  _dl_map_object
       1ms  2.86% 42.86%        3ms  8.57%  _dl_map_object_from_fd
         0     0% 42.86%        3ms  8.57%  _dl_open_relocate_one_object (inline)
         0     0% 42.86%        3ms  8.57%  _dl_relocate_object
         0     0% 42.86%        3ms  8.57%  elf_dynamic_do_Rela (inline)
         0     0% 42.86%        3ms  8.57%  elf_machine_rela (inline)
         0     0% 42.86%        3ms  8.57%  ompi_mpi_finalize
         0     0% 42.86%        3ms  8.57%  resolve_map (inline)
         0     0% 42.86%        3ms  8.57%  xcb_connect_to_display_with_auth_info
         0     0% 42.86%        2ms  5.71%  [hwloc_pci.so]
         0     0% 42.86%        2ms  5.71%  [libpciaccess.so.0.11.1]
         0     0% 42.86%        2ms  5.71%  [libxcb.so.1.1.0]
         0     0% 42.86%        2ms  5.71%  __GI_getaddrinfo
         0     0% 42.86%        2ms  5.71%  ___dlsym
       2ms  5.71% 48.57%        2ms  5.71%  __libc_openat64
         0     0% 48.57%        2ms  5.71%  _dl_sym
         0     0% 48.57%        2ms  5.71%  clone3
         0     0% 48.57%        2ms  5.71%  dlsym_doit
         0     0% 48.57%        2ms  5.71%  dlsym_implementation (inline)
         0     0% 48.57%        2ms  5.71%  do_sym (inline)
