File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 2680ms, 80.38% of 3334ms total
Dropped 656 nodes (cum <= 16.67ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     3208ms 96.22%  __libc_start_call_main
         0     0%     0%     3208ms 96.22%  __libc_start_main_impl
         0     0%     0%     3208ms 96.22%  _start
         0     0%     0%     3195ms 95.83%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%     3195ms 95.83%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%     3195ms 95.83%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%     3195ms 95.83%  main
         0     0%     0%     3164ms 94.90%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%     3164ms 94.90%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%     3164ms 94.90%  TestRepresentativePottsBasedOnLatticeSimulation::TestPottsMonolayerCellSorting
         0     0%     0%     3155ms 94.63%  AbstractCellBasedSimulation::Solve
         0     0%     0%     2891ms 86.71%  AbstractCellPopulation::WriteResultsToFiles
       6ms  0.18%  0.18%     2752ms 82.54%  PottsBasedCellPopulation::WriteVtkResultsToFile
         0     0%  0.18%     1428ms 42.83%  VertexMeshWriter::WriteVtkUsingMesh
         0     0%  0.18%     1269ms 38.06%  VertexMeshWriter::MakeVtkMesh
         0     0%  0.18%      963ms 28.88%  vtkPolygon::New
       1ms  0.03%  0.21%      962ms 28.85%  vtkPolygon::vtkPolygon
       1ms  0.03%  0.24%      720ms 21.60%  vtkCell::vtkCell
       4ms  0.12%  0.36%      557ms 16.71%  vtkPoints::New
      25ms  0.75%  1.11%      543ms 16.29%  operator new
       1ms  0.03%  1.14%      531ms 15.93%  vtkPoints::vtkPoints
     231ms  6.93%  8.07%      525ms 15.75%  __GI___libc_malloc
         0     0%  8.07%      463ms 13.89%  vtkLine::New
         0     0%  8.07%      462ms 13.86%  vtkQuad::New
       1ms  0.03%  8.10%      460ms 13.80%  vtkQuad::vtkQuad
       2ms  0.06%  8.16%      457ms 13.71%  VertexMeshWriter::WriteFiles
       4ms  0.12%  8.28%      455ms 13.65%  vtkLine::vtkLine
         0     0%  8.28%      450ms 13.50%  std::ostream::operator<< (inline)
      32ms  0.96%  9.24%      448ms 13.44%  std::ostream::_M_insert
         0     0%  9.24%      409ms 12.27%  vtkTriangle::New
         0     0%  9.24%      405ms 12.15%  vtkTriangle::vtkTriangle
      29ms  0.87% 10.11%      366ms 10.98%  std::num_put::_M_insert_float
      49ms  1.47% 11.58%      342ms 10.26%  __GI___libc_free
         0     0% 11.58%      327ms  9.81%  vtkDemandDrivenPipeline::ProcessRequest
         0     0% 11.58%      327ms  9.81%  vtkStreamingDemandDrivenPipeline::Update
         0     0% 11.58%      327ms  9.81%  vtkXMLWriterBase::Write
         0     0% 11.58%      325ms  9.75%  vtkCompositeDataPipeline::ExecuteData
         0     0% 11.58%      325ms  9.75%  vtkStreamingDemandDrivenPipeline::ProcessRequest
         0     0% 11.58%      324ms  9.72%  vtkDemandDrivenPipeline::ExecuteData
         0     0% 11.58%      320ms  9.60%  vtkExecutive::CallAlgorithm
         0     0% 11.58%      320ms  9.60%  vtkXMLUnstructuredDataWriter::ProcessRequest
      21ms  0.63% 12.21%      312ms  9.36%  vtkPoints::SetDataType
         0     0% 12.21%      296ms  8.88%  vtkXMLUnstructuredDataWriter::WriteAPiece
         0     0% 12.21%      296ms  8.88%  vtkXMLUnstructuredGridWriter::WriteAppendedPieceData
      13ms  0.39% 12.60%      295ms  8.85%  std::__cxx11::collate::do_transform
     199ms  5.97% 18.57%      291ms  8.73%  _int_free
         0     0% 18.57%      282ms  8.46%  vtkPolygon::~vtkPolygon
      35ms  1.05% 19.62%      280ms  8.40%  std::__new_allocator::allocate (inline)
         0     0% 19.62%      278ms  8.34%  std::allocator_traits::allocate (inline)
       2ms  0.06% 19.68%      269ms  8.07%  ___vsnprintf
         0     0% 19.68%      268ms  8.04%  __vsnprintf_internal (inline)
      28ms  0.84% 20.52%      265ms  7.95%  __printf_buffer
         0     0% 20.52%      264ms  7.92%  vtkXMLWriter::WriteBinaryData
         0     0% 20.52%      262ms  7.86%  vtkXMLWriter::WriteBinaryDataInternal
         0     0% 20.52%      260ms  7.80%  vtkXMLWriter::WriteBinaryDataBlock
         0     0% 20.52%      255ms  7.65%  OnLatticeSimulation::UpdateCellLocationsAndTopology
       3ms  0.09% 20.61%      255ms  7.65%  PottsBasedCellPopulation::UpdateCellLocations
     154ms  4.62% 25.22%      255ms  7.65%  _int_malloc
         0     0% 25.22%      251ms  7.53%  vtkXMLUnstructuredDataWriter::WriteAppendedPieceData
      32ms  0.96% 26.18%      240ms  7.20%  vtkAOSDataArrayTemplate::vtkAOSDataArrayTemplate
       5ms  0.15% 26.33%      230ms  6.90%  vtkCell::~vtkCell
         0     0% 26.33%      214ms  6.42%  std::set::set (inline)
       8ms  0.24% 26.57%      213ms  6.39%  __printf_fp_l_buffer
         0     0% 26.57%      213ms  6.39%  __printf_fp_spec (inline)
      10ms   0.3% 26.87%      213ms  6.39%  std::_Rb_tree::_Rb_tree
         0     0% 26.87%      202ms  6.06%  std::_Rb_tree::_M_create_node (inline)
       2ms  0.06% 26.93%      200ms  6.00%  std::__new_allocator::deallocate (inline)
         0     0% 26.93%      200ms  6.00%  std::allocator_traits::deallocate (inline)
         0     0% 26.93%      197ms  5.91%  AbstractTetrahedralMeshWriter::WriteFilesUsingMesh
