File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3846ms, 81.40% of 4725ms total
Dropped 609 nodes (cum <= 23.62ms)
      flat  flat%   sum%        cum   cum%
         0     0% 32.42%      166ms  3.51%  start_thread
      80ms  1.69% 34.12%      162ms  3.43%  std::basic_filebuf::xsputn
       3ms 0.063% 34.18%      160ms  3.39%  vtkLine::GetParametricCenter
      65ms  1.38% 35.56%      159ms  3.37%  std::_Rb_tree::_M_copy
     154ms  3.26% 38.81%      155ms  3.28%  [libz.so.1.3]
       1ms 0.021% 38.84%      154ms  3.26%  VertexMesh::VertexMesh
         0     0% 38.84%      154ms  3.26%  tbb::detail::r1::reset
      32ms  0.68% 39.51%      150ms  3.17%  std::vector::_M_default_append
       5ms  0.11% 39.62%      144ms  3.05%  vtkDataArray::CreateDataArray
       1ms 0.021% 39.64%      144ms  3.05%  vtkTypeFloat64Array::~vtkTypeFloat64Array
      71ms  1.50% 41.14%      143ms  3.03%  tbb::detail::r1::wait_bounded_queue_monitor
       8ms  0.17% 41.31%      142ms  3.01%  MutableElement::BuildEdges
      50ms  1.06% 42.37%      140ms  2.96%  std::_Rb_tree::_M_erase
         0     0% 42.37%      135ms  2.86%  NodeLocationWriter::VisitAnyPopulation
       3ms 0.063% 42.43%      130ms  2.75%  vtkTypeFloat64Array::New
       7ms  0.15% 42.58%      129ms  2.73%  vtkDoubleArray::vtkDoubleArray
       1ms 0.021% 42.60%      121ms  2.56%  vtkIdList::Allocate
      43ms  0.91% 43.51%      120ms  2.54%  EdgeHelper::GetEdgeFromNodes
       1ms 0.021% 43.53%      117ms  2.48%  vtkFloatArray::~vtkFloatArray
      73ms  1.54% 45.08%      116ms  2.46%  vtkObjectBase::UnRegisterInternal
       3ms 0.063% 45.14%      108ms  2.29%  vtkTypeFloat64Array::vtkTypeFloat64Array
      57ms  1.21% 46.35%      106ms  2.24%  vtkTypeFloat64Array::PrintSelf
      25ms  0.53% 46.88%      103ms  2.18%  vtkObject::vtkObject
      35ms  0.74% 47.62%      101ms  2.14%  __dynamic_cast
         0     0% 47.62%       97ms  2.05%  vtkXMLWriter::WritePointDataAppendedData
      27ms  0.57% 48.19%       94ms  1.99%  std::__ostream_insert
      52ms  1.10% 49.29%       92ms  1.95%  hack_digit
       7ms  0.15% 49.44%       91ms  1.93%  CellPropertyCollection::HasProperty
       2ms 0.042% 49.48%       90ms  1.90%  LegacyCellProliferativeTypesWriter::GetCellDataForVtkOutput
      87ms  1.84% 51.32%       87ms  1.84%  unlink_chunk
       3ms 0.063% 51.39%       86ms  1.82%  _int_free_maybe_consolidate
      53ms  1.12% 52.51%       85ms  1.80%  std::basic_streambuf::xsputn
      84ms  1.78% 54.29%       84ms  1.78%  __strcmp_avx2
      23ms  0.49% 54.77%       81ms  1.71%  vtkObject::Modified
       6ms  0.13% 54.90%       80ms  1.69%  vtkAOSDataArrayTemplate::DataElementChanged
      40ms  0.85% 55.75%       77ms  1.63%  AbstractCellProperty::IsSame
       5ms  0.11% 55.85%       75ms  1.59%  vtkDoubleArray::~vtkDoubleArray
         0     0% 55.85%       73ms  1.54%  Cell::GetCellProliferativeType
         0     0% 55.85%       73ms  1.54%  DifferentialAdhesionPottsUpdateRule::GetCellCellAdhesionEnergy
         0     0% 55.85%       72ms  1.52%  vtkXMLUnstructuredDataWriter::WriteCellsAppendedDataWorker
      71ms  1.50% 57.35%       71ms  1.50%  __GI_sched_yield
      13ms  0.28% 57.63%       70ms  1.48%  AbstractCellPopulation::GetCellUsingLocationIndex
      11ms  0.23% 57.86%       70ms  1.48%  PottsMesh::GetMooreNeighbouringNodeIndices
       1ms 0.021% 57.88%       67ms  1.42%  NodesOnlyMesh::SetUpBoxCollection
         0     0% 57.88%       64ms  1.35%  tcache_get (inline)
      64ms  1.35% 59.24%       64ms  1.35%  tcache_get_n (inline)
      26ms  0.55% 59.79%       61ms  1.29%  std::_Hashtable::clear
      10ms  0.21% 60.00%       61ms  1.29%  std::num_put::_M_insert_int
      23ms  0.49% 60.49%       60ms  1.27%  std::vector::_M_realloc_insert
       5ms  0.11% 60.59%       60ms  1.27%  vtkIdList::New
         0     0% 60.59%       57ms  1.21%  NodesOnlyMesh::~NodesOnlyMesh
       5ms  0.11% 60.70%       57ms  1.21%  vtkDataArray::vtkDataArray
      55ms  1.16% 61.86%       55ms  1.16%  vtkTimeStamp::Modified
      54ms  1.14% 63.01%       54ms  1.14%  __GI___writev
      10ms  0.21% 63.22%       54ms  1.14%  vtkDataArray::~vtkDataArray
         0     0% 63.22%       53ms  1.12%  std::__basic_file::xsputn_2
      50ms  1.06% 64.28%       50ms  1.06%  __memcpy_avx_unaligned_erms
      13ms  0.28% 64.55%       50ms  1.06%  vtkAbstractArray::vtkAbstractArray
       5ms  0.11% 64.66%       48ms  1.02%  DistributedBoxCollection::SetupLocalBoxesHalfOnly
      12ms  0.25% 64.91%       45ms  0.95%  VertexMeshWriter::GetNextNode
      30ms  0.63% 65.54%       45ms  0.95%  __cxxabiv1::__si_class_type_info::__do_dyncast
      44ms  0.93% 66.48%       44ms  0.93%  [libvtkCommonCore-9.3.so.9.3]
      43ms  0.91% 67.39%       44ms  0.93%  vtkObject::~vtkObject
         0     0% 67.39%       43ms  0.91%  VertexMesh::Clear
      43ms  0.91% 68.30%       43ms  0.91%  __memset_avx2_unaligned_erms
