File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 4000ms, 79.68% of 5020ms total
Dropped 781 nodes (cum <= 25.10ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     4797ms 95.56%  __libc_start_call_main
         0     0%     0%     4797ms 95.56%  __libc_start_main_impl
         0     0%     0%     4797ms 95.56%  _start
         0     0%     0%     4779ms 95.20%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%     4779ms 95.20%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%     4779ms 95.20%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%     4779ms 95.20%  main
         0     0%     0%     4735ms 94.32%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%     4735ms 94.32%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%     4735ms 94.32%  TestRepresentativePottsBasedOnLatticeSimulation::TestPottsMonolayerCellSorting
         0     0%     0%     4723ms 94.08%  AbstractCellBasedSimulation::Solve
         0     0%     0%     4329ms 86.24%  AbstractCellPopulation::WriteResultsToFiles
      16ms  0.32%  0.32%     4103ms 81.73%  PottsBasedCellPopulation::WriteVtkResultsToFile
         0     0%  0.32%     1994ms 39.72%  VertexMeshWriter::WriteVtkUsingMesh
         0     0%  0.32%     1701ms 33.88%  VertexMeshWriter::MakeVtkMesh
       1ms  0.02%  0.34%     1270ms 25.30%  vtkPolygon::New
         0     0%  0.34%     1269ms 25.28%  vtkPolygon::vtkPolygon
      10ms   0.2%  0.54%      868ms 17.29%  vtkCell::vtkCell
       3ms  0.06%   0.6%      744ms 14.82%  vtkPoints::New
       4ms  0.08%  0.68%      709ms 14.12%  VertexMeshWriter::WriteFiles
      47ms  0.94%  1.61%      703ms 14.00%  operator new
      13ms  0.26%  1.87%      700ms 13.94%  vtkPoints::vtkPoints
     194ms  3.86%  5.74%      666ms 13.27%  __GI___libc_malloc
       2ms  0.04%  5.78%      637ms 12.69%  std::ostream::operator<< (inline)
      53ms  1.06%  6.83%      634ms 12.63%  std::ostream::_M_insert
       1ms  0.02%  6.85%      604ms 12.03%  vtkDemandDrivenPipeline::ProcessRequest
         0     0%  6.85%      604ms 12.03%  vtkStreamingDemandDrivenPipeline::Update
         0     0%  6.85%      604ms 12.03%  vtkXMLWriterBase::Write
         0     0%  6.85%      600ms 11.95%  vtkStreamingDemandDrivenPipeline::ProcessRequest
         0     0%  6.85%      599ms 11.93%  vtkDemandDrivenPipeline::ExecuteData
         0     0%  6.85%      598ms 11.91%  vtkCompositeDataPipeline::ExecuteData
         0     0%  6.85%      598ms 11.91%  vtkExecutive::CallAlgorithm
         0     0%  6.85%      597ms 11.89%  vtkXMLUnstructuredDataWriter::ProcessRequest
       1ms  0.02%  6.87%      559ms 11.14%  vtkQuad::New
       4ms  0.08%  6.95%      554ms 11.04%  vtkQuad::vtkQuad
       1ms  0.02%  6.97%      553ms 11.02%  vtkLine::New
      13ms  0.26%  7.23%      539ms 10.74%  vtkLine::vtkLine
       2ms  0.04%  7.27%      535ms 10.66%  vtkTriangle::New
       4ms  0.08%  7.35%      528ms 10.52%  vtkTriangle::vtkTriangle
         0     0%  7.35%      525ms 10.46%  vtkXMLUnstructuredDataWriter::WriteAPiece
         0     0%  7.35%      525ms 10.46%  vtkXMLUnstructuredGridWriter::WriteAppendedPieceData
     118ms  2.35%  9.70%      522ms 10.40%  __GI___libc_free
      51ms  1.02% 10.72%      500ms  9.96%  std::num_put::_M_insert_float
         0     0% 10.72%      461ms  9.18%  vtkXMLWriter::WriteBinaryData
         0     0% 10.72%      458ms  9.12%  vtkXMLUnstructuredDataWriter::WriteAppendedPieceData
         0     0% 10.72%      456ms  9.08%  vtkXMLWriter::WriteBinaryDataBlock
         0     0% 10.72%      456ms  9.08%  vtkXMLWriter::WriteBinaryDataInternal
      28ms  0.56% 11.27%      440ms  8.76%  vtkPoints::SetDataType
     219ms  4.36% 15.64%      401ms  7.99%  _int_free
     258ms  5.14% 20.78%      396ms  7.89%  _int_malloc
      11ms  0.22% 21.00%      391ms  7.79%  std::__cxx11::collate::do_transform
         0     0% 21.00%      390ms  7.77%  vtkPolygon::~vtkPolygon
         0     0% 21.00%      385ms  7.67%  OnLatticeSimulation::UpdateCellLocationsAndTopology
       2ms  0.04% 21.04%      385ms  7.67%  PottsBasedCellPopulation::UpdateCellLocations
       3ms  0.06% 21.10%      369ms  7.35%  ___vsnprintf
         0     0% 21.10%      368ms  7.33%  AbstractTetrahedralMeshWriter::WriteFilesUsingMesh
         0     0% 21.10%      366ms  7.29%  __vsnprintf_internal (inline)
         0     0% 21.10%      365ms  7.27%  VtkMeshWriter::WriteFiles
      45ms   0.9% 21.99%      358ms  7.13%  __printf_buffer
         0     0% 21.99%      340ms  6.77%  vtkXMLWriter::WritePointsAppendedData
      63ms  1.25% 23.25%      321ms  6.39%  std::__new_allocator::allocate (inline)
         0     0% 23.25%      321ms  6.39%  std::allocator_traits::allocate (inline)
       2ms  0.04% 23.29%      305ms  6.08%  vtkCell::~vtkCell
      42ms  0.84% 24.12%      290ms  5.78%  vtkAOSDataArrayTemplate::vtkAOSDataArrayTemplate
       2ms  0.04% 24.16%      286ms  5.70%  __printf_fp_spec (inline)
      14ms  0.28% 24.44%      284ms  5.66%  __printf_fp_l_buffer
       2ms  0.04% 24.48%      272ms  5.42%  std::__new_allocator::deallocate (inline)
         0     0% 24.48%      271ms  5.40%  std::allocator_traits::deallocate (inline)
      22ms  0.44% 24.92%      267ms  5.32%  std::_Rb_tree::_Rb_tree
         0     0% 24.92%      267ms  5.32%  std::set::set (inline)
     120ms  2.39% 27.31%      256ms  5.10%  __printf_fp_buffer_1
         0     0% 27.31%      240ms  4.78%  vtkXMLWriter::WriteCompressionBlock
         0     0% 27.31%      235ms  4.68%  VertexMesh::~VertexMesh
         0     0% 27.31%      230ms  4.58%  compress2
         0     0% 27.31%      230ms  4.58%  vtkDataCompressor::Compress
         0     0% 27.31%      230ms  4.58%  vtkZLibDataCompressor::CompressBuffer
     146ms  2.91% 30.22%      226ms  4.50%  malloc_consolidate
      41ms  0.82% 31.04%      224ms  4.46%  crc32
         0     0% 31.04%      224ms  4.46%  deflate
       5ms   0.1% 31.14%      220ms  4.38%  vtkBase64OutputStream::Write
       6ms  0.12% 31.25%      220ms  4.38%  vtkPoints::~vtkPoints
         0     0% 31.25%      211ms  4.20%  std::_Rb_tree::_M_create_node (inline)
      13ms  0.26% 31.51%      210ms  4.18%  vtkBase64OutputStream::EncodeTriplet
       7ms  0.14% 31.65%      205ms  4.08%  vtkIdList::AllocateInternal
      17ms  0.34% 31.99%      204ms  4.06%  std::_Rb_tree::_M_copy (inline)
         0     0% 31.99%      191ms  3.80%  tbb::detail::r1::parallel_pipeline
         0     0% 31.99%      188ms  3.75%  std::_Rb_tree::_Alloc_node::operator() (inline)
         0     0% 31.99%      185ms  3.69%  clone3
         0     0% 31.99%      185ms  3.69%  start_thread
         0     0% 31.99%      185ms  3.69%  std::_Rb_tree::_M_get_node (inline)
         0     0% 31.99%      185ms  3.69%  std::vector::~vector (inline)
      24ms  0.48% 32.47%      183ms  3.65%  std::_Rb_tree::_M_clone_node (inline)
       5ms   0.1% 32.57%      183ms  3.65%  std::_Vector_base::_M_deallocate (inline)
      75ms  1.49% 34.06%      181ms  3.61%  std::basic_filebuf::xsputn
      32ms  0.64% 34.70%      180ms  3.59%  std::ostream::write
       1ms  0.02% 34.72%      176ms  3.51%  tbb::detail::r1::reset
     171ms  3.41% 38.13%      175ms  3.49%  [libz.so.1.3]
      11ms  0.22% 38.35%      175ms  3.49%  std::_Rb_tree::~_Rb_tree (inline)
       2ms  0.04% 38.39%      174ms  3.47%  NodesOnlyMesh::ConstructNodesWithoutMesh
       4ms  0.08% 38.47%      174ms  3.47%  vtkFloatArray::New
      68ms  1.35% 39.82%      171ms  3.41%  std::_Rb_tree::_M_erase
       2ms  0.04% 39.86%      168ms  3.35%  vtkQuad::~vtkQuad
       1ms  0.02% 39.88%      164ms  3.27%  vtkLine::GetParametricCenter
         0     0% 39.88%      161ms  3.21%  VertexMesh::VertexMesh
       2ms  0.04% 39.92%      159ms  3.17%  AdhesionPottsUpdateRule::EvaluateHamiltonianContribution
      85ms  1.69% 41.61%      158ms  3.15%  tbb::detail::r1::wait_bounded_queue_monitor
       2ms  0.04% 41.65%      157ms  3.13%  vtkTypeFloat64Array::~vtkTypeFloat64Array
       2ms  0.04% 41.69%      154ms  3.07%  vtkTriangle::~vtkTriangle
       2ms  0.04% 41.73%      152ms  3.03%  std::_Vector_base::~_Vector_base (inline)
       2ms  0.04% 41.77%      152ms  3.03%  vtkDataArray::CreateDataArray
         0     0% 41.77%      152ms  3.03%  vtkFloatArray::vtkFloatArray
         0     0% 41.77%      151ms  3.01%  EdgeHelper::~EdgeHelper (inline)
      16ms  0.32% 42.09%      151ms  3.01%  std::vector::_M_default_append
         0     0% 42.09%      149ms  2.97%  VertexMesh::GenerateEdgesFromElements (inline)
       6ms  0.12% 42.21%      148ms  2.95%  MutableElement::BuildEdges
       4ms  0.08% 42.29%      143ms  2.85%  vtkDoubleArray::vtkDoubleArray
       5ms   0.1% 42.39%      141ms  2.81%  vtkTypeFloat64Array::New
       1ms  0.02% 42.41%      139ms  2.77%  vtkIdList::Allocate
         0     0% 42.41%      138ms  2.75%  NodeLocationWriter::VisitAnyPopulation
         0     0% 42.41%      136ms  2.71%  std::_Vector_base::_M_allocate (inline)
         0     0% 42.41%      129ms  2.57%  std::set::~set (inline)
       1ms  0.02% 42.43%      123ms  2.45%  EdgeHelper::GetEdgeFromNodes
       7ms  0.14% 42.57%      119ms  2.37%  _int_free_maybe_consolidate
       3ms  0.06% 42.63%      118ms  2.35%  vtkTypeFloat64Array::vtkTypeFloat64Array
     115ms  2.29% 44.92%      115ms  2.29%  __strcmp_avx2
         0     0% 44.92%      115ms  2.29%  vtkXMLWriter::WritePointDataAppendedData
      40ms   0.8% 45.72%      114ms  2.27%  std::__ostream_insert
       3ms  0.06% 45.78%      114ms  2.27%  vtkFloatArray::~vtkFloatArray
      20ms   0.4% 46.18%      112ms  2.23%  vtkObject::vtkObject
         0     0% 46.18%      109ms  2.17%  CellPropertyCollection::GetPropertiesType (inline)
         0     0% 46.18%      108ms  2.15%  Cell::HasCellProperty (inline)
       5ms   0.1% 46.27%      108ms  2.15%  CellPropertyCollection::HasProperty
         0     0% 46.27%      107ms  2.13%  PottsMesh::GetMooreNeighbouringNodeIndices
         0     0% 46.27%      107ms  2.13%  std::operator<< (inline)
      52ms  1.04% 47.31%      104ms  2.07%  vtkTypeFloat64Array::PrintSelf
         0     0% 47.31%      103ms  2.05%  AbstractCellProperty::IsType (inline)
     102ms  2.03% 49.34%      102ms  2.03%  unlink_chunk
         0     0% 49.34%       98ms  1.95%  std::_Rb_tree::_M_drop_node (inline)
         0     0% 49.34%       95ms  1.89%  AbstractCellProperty::IsSubType (inline)
      24ms  0.48% 49.82%       95ms  1.89%  __dynamic_cast
         0     0% 49.82%       93ms  1.85%  std::_Rb_tree::_M_put_node (inline)
      59ms  1.18% 51.00%       92ms  1.83%  vtkObjectBase::UnRegisterInternal
       3ms  0.06% 51.06%       90ms  1.79%  LegacyCellProliferativeTypesWriter::GetCellDataForVtkOutput
       5ms   0.1% 51.16%       88ms  1.75%  std::vector::push_back (inline)
       3ms  0.06% 51.22%       88ms  1.75%  vtkDoubleArray::~vtkDoubleArray
         0     0% 51.22%       85ms  1.69%  std::map::operator[] (partial-inline)
       1ms  0.02% 51.24%       84ms  1.67%  VertexMesh::Clear
      41ms  0.82% 52.05%       84ms  1.67%  hack_digit
       9ms  0.18% 52.23%       79ms  1.57%  vtkAOSDataArrayTemplate::DataElementChanged
      11ms  0.22% 52.45%       77ms  1.53%  AbstractCellProperty::IsSame
      45ms   0.9% 53.35%       77ms  1.53%  std::basic_streambuf::xsputn
       8ms  0.16% 53.51%       75ms  1.49%  boost::numeric::ublas::c_vector::c_vector (inline)
      21ms  0.42% 53.92%       75ms  1.49%  vtkObject::Modified
       2ms  0.04% 53.96%       73ms  1.45%  DifferentialAdhesionPottsUpdateRule::GetCellCellAdhesionEnergy
