File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3970ms, 79.48% of 4995ms total
Dropped 809 nodes (cum <= 24.98ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     4800ms 96.10%  __libc_start_call_main
         0     0%     0%     4800ms 96.10%  __libc_start_main_impl
         0     0%     0%     4800ms 96.10%  _start
         0     0%     0%     4783ms 95.76%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%     4783ms 95.76%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%     4783ms 95.76%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%     4783ms 95.76%  main
         0     0%     0%     4733ms 94.75%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%     4733ms 94.75%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%     4733ms 94.75%  TestRepresentativePottsBasedOnLatticeSimulation::TestPottsMonolayerCellSorting
         0     0%     0%     4721ms 94.51%  AbstractCellBasedSimulation::Solve
         0     0%     0%     4329ms 86.67%  AbstractCellPopulation::WriteResultsToFiles
      14ms  0.28%  0.28%     4105ms 82.18%  PottsBasedCellPopulation::WriteVtkResultsToFile
         0     0%  0.28%     2016ms 40.36%  VertexMeshWriter::WriteVtkUsingMesh
         0     0%  0.28%     1723ms 34.49%  VertexMeshWriter::MakeVtkMesh
       1ms  0.02%   0.3%     1294ms 25.91%  vtkPolygon::New
       1ms  0.02%  0.32%     1292ms 25.87%  vtkPolygon::vtkPolygon
      13ms  0.26%  0.58%      930ms 18.62%  vtkCell::vtkCell
       5ms   0.1%  0.68%      789ms 15.80%  vtkPoints::New
      20ms   0.4%  1.08%      744ms 14.89%  vtkPoints::vtkPoints
       1ms  0.02%  1.10%      694ms 13.89%  VertexMeshWriter::WriteFiles
      31ms  0.62%  1.72%      648ms 12.97%  operator new
     196ms  3.92%  5.65%      631ms 12.63%  __GI___libc_malloc
      59ms  1.18%  6.83%      631ms 12.63%  std::ostream::_M_insert
         0     0%  6.83%      629ms 12.59%  std::ostream::operator<< (inline)
         0     0%  6.83%      618ms 12.37%  vtkQuad::New
       5ms   0.1%  6.93%      616ms 12.33%  vtkQuad::vtkQuad
       3ms  0.06%  6.99%      602ms 12.05%  vtkTriangle::New
       1ms  0.02%  7.01%      601ms 12.03%  vtkLine::New
         0     0%  7.01%      600ms 12.01%  vtkStreamingDemandDrivenPipeline::Update
         0     0%  7.01%      600ms 12.01%  vtkXMLWriterBase::Write
         0     0%  7.01%      599ms 11.99%  vtkDemandDrivenPipeline::ProcessRequest
         0     0%  7.01%      595ms 11.91%  vtkExecutive::CallAlgorithm
         0     0%  7.01%      595ms 11.91%  vtkStreamingDemandDrivenPipeline::ProcessRequest
         0     0%  7.01%      594ms 11.89%  vtkCompositeDataPipeline::ExecuteData
         0     0%  7.01%      594ms 11.89%  vtkDemandDrivenPipeline::ExecuteData
         0     0%  7.01%      594ms 11.89%  vtkXMLUnstructuredDataWriter::ProcessRequest
      10ms   0.2%  7.21%      588ms 11.77%  vtkTriangle::vtkTriangle
       7ms  0.14%  7.35%      579ms 11.59%  vtkLine::vtkLine
     124ms  2.48%  9.83%      529ms 10.59%  __GI___libc_free
         0     0%  9.83%      524ms 10.49%  vtkXMLUnstructuredDataWriter::WriteAPiece
         0     0%  9.83%      524ms 10.49%  vtkXMLUnstructuredGridWriter::WriteAppendedPieceData
      57ms  1.14% 10.97%      511ms 10.23%  std::num_put::_M_insert_float
         0     0% 10.97%      465ms  9.31%  vtkXMLWriter::WriteBinaryData
      24ms  0.48% 11.45%      457ms  9.15%  vtkPoints::SetDataType
       1ms  0.02% 11.47%      457ms  9.15%  vtkXMLWriter::WriteBinaryDataBlock
         0     0% 11.47%      457ms  9.15%  vtkXMLWriter::WriteBinaryDataInternal
         0     0% 11.47%      451ms  9.03%  vtkXMLUnstructuredDataWriter::WriteAppendedPieceData
      10ms   0.2% 11.67%      409ms  8.19%  std::__cxx11::collate::do_transform
     245ms  4.90% 16.58%      405ms  8.11%  _int_free
         0     0% 16.58%      389ms  7.79%  vtkPolygon::~vtkPolygon
       2ms  0.04% 16.62%      388ms  7.77%  ___vsnprintf
         0     0% 16.62%      386ms  7.73%  __vsnprintf_internal (inline)
      63ms  1.26% 17.88%      382ms  7.65%  __printf_buffer
         0     0% 17.88%      378ms  7.57%  OnLatticeSimulation::UpdateCellLocationsAndTopology
       9ms  0.18% 18.06%      378ms  7.57%  PottsBasedCellPopulation::UpdateCellLocations
         0     0% 18.06%      372ms  7.45%  AbstractTetrahedralMeshWriter::WriteFilesUsingMesh
         0     0% 18.06%      370ms  7.41%  VtkMeshWriter::WriteFiles
