File: TestChasteBuildInfo
Type: cpu
Showing nodes accounting for 31ms, 100% of 31ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%       30ms 96.77%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%       30ms 96.77%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%       30ms 96.77%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%       30ms 96.77%  __libc_start_call_main
         0     0%     0%       30ms 96.77%  __libc_start_main_impl
         0     0%     0%       30ms 96.77%  _start
         0     0%     0%       30ms 96.77%  main
         0     0%     0%       27ms 87.10%  CxxTest::RealWorldDescription::setUp
         0     0%     0%       27ms 87.10%  PMPI_Init_thread
         0     0%     0%       27ms 87.10%  PetscInitialize
         0     0%     0%       27ms 87.10%  PetscSetup::setUpWorld
         0     0%     0%       27ms 87.10%  PetscSetupUtils::CommonSetup
         0     0%     0%       27ms 87.10%  PetscSetupUtils::InitialisePetsc
         0     0%     0%       27ms 87.10%  ompi_mpi_init
       1ms  3.23%  3.23%       21ms 67.74%  <unknown>
         0     0%  3.23%       20ms 64.52%  orte_init
         0     0%  3.23%       13ms 41.94%  hwloc_topology_load
         0     0%  3.23%       12ms 38.71%  hwloc_linux_get_tid_last_cpu_location
         0     0%  3.23%       10ms 32.26%  __GI__dl_catch_exception
         0     0%  3.23%       10ms 32.26%  _dl_catch_error
         0     0%  3.23%       10ms 32.26%  _dlerror_run
       1ms  3.23%  6.45%       10ms 32.26%  mca_base_framework_open
         0     0%  6.45%        9ms 29.03%  ___dlopen
         0     0%  6.45%        9ms 29.03%  _dl_open
         0     0%  6.45%        9ms 29.03%  dl_open_worker
         0     0%  6.45%        9ms 29.03%  dl_open_worker_begin
         0     0%  6.45%        9ms 29.03%  dlopen_doit
         0     0%  6.45%        9ms 29.03%  dlopen_implementation (inline)
         0     0%  6.45%        9ms 29.03%  mca_base_framework_components_register
         0     0%  6.45%        9ms 29.03%  mca_base_framework_register
         0     0%  6.45%        9ms 29.03%  opal_stackframe_output
         0     0%  6.45%        8ms 25.81%  mca_base_component_find
         0     0%  6.45%        8ms 25.81%  mca_base_component_repository_open
         0     0%  6.45%        7ms 22.58%  _dl_open_relocate_one_object (inline)
         0     0%  6.45%        7ms 22.58%  _dl_relocate_object
         0     0%  6.45%        7ms 22.58%  elf_dynamic_do_Rela (inline)
         0     0%  6.45%        6ms 19.35%  _dl_lookup_symbol_x
       5ms 16.13% 22.58%        6ms 19.35%  do_lookup_x
         0     0% 22.58%        6ms 19.35%  elf_machine_rela (inline)
         0     0% 22.58%        6ms 19.35%  resolve_map (inline)
       5ms 16.13% 38.71%        5ms 16.13%  __GI___libc_read
         0     0% 38.71%        5ms 16.13%  opal_hwloc_base_get_topology
         0     0% 38.71%        5ms 16.13%  orte_ess_base_proc_binding
         0     0% 38.71%        3ms  9.68%  CxxTest::RealWorldDescription::tearDown
         0     0% 38.71%        3ms  9.68%  PetscFinalize
         0     0% 38.71%        3ms  9.68%  PetscSetup::tearDownWorld
         0     0% 38.71%        3ms  9.68%  PetscSetupUtils::CommonFinalize
         0     0% 38.71%        3ms  9.68%  ompi_mpi_finalize
         0     0% 38.71%        2ms  6.45%  XOpenDisplay
         0     0% 38.71%        2ms  6.45%  [hwloc_gl.so]
         0     0% 38.71%        2ms  6.45%  [hwloc_pci.so]
         0     0% 38.71%        2ms  6.45%  [libpciaccess.so.0.11.1]
         0     0% 38.71%        2ms  6.45%  _XConnectXCB
       2ms  6.45% 45.16%        2ms  6.45%  __libc_openat64
         0     0% 45.16%        2ms  6.45%  _dl_map_object
       1ms  3.23% 48.39%        2ms  6.45%  _dl_map_object_from_fd
         0     0% 48.39%        2ms  6.45%  mca_topo_base_dist_graph_neighbors_count
         0     0% 48.39%        2ms  6.45%  pci_get_strings
         0     0% 48.39%        2ms  6.45%  xcb_connect_to_display_with_auth_info
       1ms  3.23% 51.61%        1ms  3.23%  [libmpi.so.40.30.6]
