File: TestChasteBuildInfo
Type: cpu
Showing nodes accounting for 41ms, 100% of 41ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%       40ms 97.56%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%       40ms 97.56%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%       40ms 97.56%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%       40ms 97.56%  __libc_start_call_main
         0     0%     0%       40ms 97.56%  __libc_start_main_impl
         0     0%     0%       40ms 97.56%  _start
         0     0%     0%       40ms 97.56%  main
         0     0%     0%       37ms 90.24%  CxxTest::RealWorldDescription::setUp
         0     0%     0%       37ms 90.24%  PetscInitialize
         0     0%     0%       37ms 90.24%  PetscSetup::setUpWorld
         0     0%     0%       37ms 90.24%  PetscSetupUtils::CommonSetup
         0     0%     0%       37ms 90.24%  PetscSetupUtils::InitialisePetsc
         0     0%     0%       36ms 87.80%  PMPI_Init_thread
         0     0%     0%       36ms 87.80%  ompi_mpi_init
       1ms  2.44%  2.44%       33ms 80.49%  <unknown>
         0     0%  2.44%       22ms 53.66%  orte_init
         0     0%  2.44%       18ms 43.90%  __GI__dl_catch_exception
         0     0%  2.44%       18ms 43.90%  ___dlopen
         0     0%  2.44%       18ms 43.90%  _dl_catch_error
         0     0%  2.44%       18ms 43.90%  _dl_open
         0     0%  2.44%       18ms 43.90%  _dlerror_run
         0     0%  2.44%       18ms 43.90%  dl_open_worker
         0     0%  2.44%       18ms 43.90%  dlopen_doit
         0     0%  2.44%       18ms 43.90%  dlopen_implementation (inline)
         0     0%  2.44%       17ms 41.46%  mca_base_framework_components_register
         0     0%  2.44%       17ms 41.46%  mca_base_framework_open
         0     0%  2.44%       17ms 41.46%  mca_base_framework_register
         0     0%  2.44%       16ms 39.02%  mca_base_component_find
         0     0%  2.44%       16ms 39.02%  mca_base_component_repository_open
         0     0%  2.44%       16ms 39.02%  opal_stackframe_output
         0     0%  2.44%       13ms 31.71%  hwloc_topology_load
         0     0%  2.44%       11ms 26.83%  hwloc_linux_get_tid_last_cpu_location
         0     0%  2.44%       10ms 24.39%  dl_open_worker_begin
         0     0%  2.44%        9ms 21.95%  _dl_map_object
         0     0%  2.44%        8ms 19.51%  mca_base_framework_components_open
         0     0%  2.44%        8ms 19.51%  mca_topo_base_dist_graph_neighbors_count
         0     0%  2.44%        7ms 17.07%  _dl_init
         0     0%  2.44%        7ms 17.07%  call_init (inline)
       5ms 12.20% 14.63%        5ms 12.20%  __GI___clock_nanosleep
         0     0% 14.63%        5ms 12.20%  __GI___nanosleep
         0     0% 14.63%        5ms 12.20%  opal_hwloc_base_get_topology
         0     0% 14.63%        5ms 12.20%  orte_ess_base_proc_binding
         0     0% 14.63%        5ms 12.20%  usleep
       4ms  9.76% 24.39%        4ms  9.76%  __GI___libc_read
