File: TestMonodomainSlabLong
Type: cpu
Showing nodes accounting for 8491ms, 85.86% of 9889ms total
Dropped 636 nodes (cum <= 49.45ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     9882ms 99.93%  __libc_start_call_main
         0     0%     0%     9882ms 99.93%  __libc_start_main_impl
         0     0%     0%     9882ms 99.93%  _start
         0     0%     0%     9879ms 99.90%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%     9879ms 99.90%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%     9879ms 99.90%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%     9879ms 99.90%  main
         0     0%     0%     9841ms 99.51%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%     9841ms 99.51%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%     9841ms 99.51%  TestMonodomainSlabLong::TestMonodomainSlabLongWithCornerNodesStimulated
         0     0%     0%     9826ms 99.36%  AbstractCardiacProblem::Solve
       2ms  0.02%  0.02%     6756ms 68.32%  AbstractDynamicLinearPdeSolver::Solve
      29ms  0.29%  0.31%     4505ms 45.56%  AbstractCardiacTissue::SolveCellSystems
         0     0%  0.31%     3009ms 30.43%  MonodomainProblem::WriteOneStep
       3ms  0.03%  0.34%     2916ms 29.49%  Hdf5DataWriter::PutVector
         0     0%  0.34%     2893ms 29.25%  H5Dwrite
         0     0%  0.34%     2881ms 29.13%  H5D__write
      37ms  0.37%  0.72%     2818ms 28.50%  AbstractCardiacCell::ComputeExceptVoltage
      46ms  0.47%  1.18%     2539ms 25.67%  AbstractOneStepIvpOdeSolver::InternalSolve
      68ms  0.69%  1.87%     2248ms 22.73%  EulerIvpOdeSolver::CalculateNextYValue
     614ms  6.21%  8.08%     2153ms 21.77%  CellLuoRudy1991FromCellML::EvaluateYDerivatives
         0     0%  8.08%     1747ms 17.67%  LinearSystem::Solve
         0     0%  8.08%     1683ms 17.02%  KSPSolve
       3ms  0.03%  8.11%     1683ms 17.02%  KSPSolve_Private
     648ms  6.55% 14.66%     1681ms 17.00%  __GI___exp
       4ms  0.04% 14.70%     1674ms 16.93%  KSPSolve_CG
         0     0% 14.70%     1468ms 14.84%  H5D__chunk_collective_write
      23ms  0.23% 14.94%     1468ms 14.84%  H5F_set_coll_metadata_reads
       9ms 0.091% 15.03%     1342ms 13.57%  H5D__chunk_cacheable
      51ms  0.52% 15.54%     1318ms 13.33%  AbstractCardiacTissue::UpdateCaches (inline)
      10ms   0.1% 15.64%     1283ms 12.97%  H5FD_s3comms_uriencode
     315ms  3.19% 18.83%     1233ms 12.47%  CellLuoRudy1991FromCellML::GetIIonic
     407ms  4.12% 22.94%     1188ms 12.01%  H5S_select_iterate
       1ms  0.01% 22.95%      989ms 10.00%  PCApply
         0     0% 22.95%      985ms  9.96%  PCApply_BJacobi_Singleblock
         0     0% 22.95%      958ms  9.69%  KSPSolve_PREONLY
         0     0% 22.95%      956ms  9.67%  MatSolve
     951ms  9.62% 32.57%      956ms  9.67%  MatSolve_SeqSBAIJ_1_NaturalOrdering
         0     0% 32.57%      956ms  9.67%  PCApply_ICC
      26ms  0.26% 32.83%      905ms  9.15%  <unknown>
       1ms  0.01% 32.84%      892ms  9.02%  H5F_block_write
       2ms  0.02% 32.86%      891ms  9.01%  H5PB_write
         0     0% 32.86%      888ms  8.98%  H5FD_write
         0     0% 32.86%      888ms  8.98%  H5F__accum_write
     886ms  8.96% 41.82%      886ms  8.96%  __ieee754_exp_fma
         0     0% 41.82%      827ms  8.36%  H5D__mpio_select_write
      83ms  0.84% 42.66%      788ms  7.97%  H5D__chunk_set_sizes
         0     0% 42.66%      763ms  7.72%  PMPI_File_write_at_all
     741ms  7.49% 50.16%      747ms  7.55%  __GI_pwritev64
         0     0% 50.16%      672ms  6.80%  KSP_PCApply.lto_priv.7
       1ms  0.01% 50.17%      631ms  6.38%  MatMult
     629ms  6.36% 56.53%      630ms  6.37%  MatMult_SeqAIJ
      14ms  0.14% 56.67%      510ms  5.16%  std::pow (inline)
     139ms  1.41% 58.07%      489ms  4.94%  MonodomainSolver::SetupLinearSystem
      20ms   0.2% 58.28%      487ms  4.92%  __pow
      56ms  0.57% 58.84%      468ms  4.73%  H5S_mpio_space_type
      32ms  0.32% 59.17%      462ms  4.67%  __ieee754_pow_fma
       1ms  0.01% 59.18%      380ms  3.84%  KSPConvergedDefault
     359ms  3.63% 62.81%      359ms  3.63%  [libchaste_heart.so]
      28ms  0.28% 63.09%      331ms  3.35%  H5VM_chunk_index
         0     0% 63.09%      320ms  3.24%  KSP_PCApply
     259ms  2.62% 65.71%      259ms  2.62%  H5VM_chunk_index_scaled
     161ms  1.63% 67.34%      251ms  2.54%  CellLuoRudy1991FromCellML::VerifyStateVariables
     103ms  1.04% 68.38%      232ms  2.35%  __GI___libc_malloc
     199ms  2.01% 70.39%      224ms  2.27%  exp_inline (inline)
     204ms  2.06% 72.45%      204ms  2.06%  log_inline (inline)
       7ms 0.071% 72.53%      173ms  1.75%  ompi_datatype_create
     161ms  1.63% 74.15%      161ms  1.63%  [libm.so.6]
     118ms  1.19% 75.35%      160ms  1.62%  _int_malloc
      32ms  0.32% 75.67%      138ms  1.40%  H5S_set_version
     137ms  1.39% 77.06%      137ms  1.39%  ddot_
      20ms   0.2% 77.26%      133ms  1.34%  ompi_datatype_destroy
      66ms  0.67% 77.92%      125ms  1.26%  H5S_hyper_add_span_element
       1ms  0.01% 77.94%      125ms  1.26%  MPI_Type_free
      11ms  0.11% 78.05%      123ms  1.24%  __GI___libc_free
      72ms  0.73% 78.77%      112ms  1.13%  _int_free
      32ms  0.32% 79.10%      107ms  1.08%  ompi_datatype_release_args
       4ms  0.04% 79.14%      107ms  1.08%  ompi_info_register_framework_params
      50ms  0.51% 79.64%      106ms  1.07%  H5VM_array_calc
       1ms  0.01% 79.65%      104ms  1.05%  PMPI_Type_create_resized
      22ms  0.22% 79.88%       99ms  1.00%  ompi_datatype_set_args
       1ms  0.01% 79.89%       93ms  0.94%  Hdf5DataWriter::PutUnlimitedVariable
      47ms  0.48% 80.36%       93ms  0.94%  __libc_calloc
       3ms  0.03% 80.39%       91ms  0.92%  ompi_datatype_duplicate
       3ms  0.03% 80.42%       85ms  0.86%  opal_datatype_create_desc
         0     0% 80.42%       82ms  0.83%  VecNorm
      82ms  0.83% 81.25%       82ms  0.83%  [libchaste_ode.so]
      82ms  0.83% 82.08%       82ms  0.83%  __memcpy_avx512_unaligned_erms
         0     0% 82.08%       80ms  0.81%  PMPI_File_set_view
      26ms  0.26% 82.34%       79ms   0.8%  TimeStepper::TimeStepper
       1ms  0.01% 82.35%       79ms   0.8%  VecTDot
