File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3943ms, 78.50% of 5023ms total
Dropped 741 nodes (cum <= 25.11ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     4755ms 94.66%  __libc_start_call_main
         0     0%     0%     4755ms 94.66%  __libc_start_main_impl
         0     0%     0%     4755ms 94.66%  _start
         0     0%     0%     4740ms 94.37%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%     4740ms 94.37%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%     4740ms 94.37%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%     4740ms 94.37%  main
         0     0%     0%     4702ms 93.61%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%     4702ms 93.61%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%     4702ms 93.61%  TestRepresentativePottsBasedOnLatticeSimulation::TestPottsMonolayerCellSorting
         0     0%     0%     4692ms 93.41%  AbstractCellBasedSimulation::Solve
         0     0%     0%     4365ms 86.90%  AbstractCellPopulation::WriteResultsToFiles
      13ms  0.26%  0.26%     4133ms 82.28%  PottsBasedCellPopulation::WriteVtkResultsToFile
         0     0%  0.26%     2004ms 39.90%  VertexMeshWriter::WriteVtkUsingMesh
         0     0%  0.26%     1724ms 34.32%  VertexMeshWriter::MakeVtkMesh
         0     0%  0.26%     1254ms 24.97%  vtkPolygon::New
       1ms  0.02%  0.28%     1253ms 24.95%  vtkPolygon::vtkPolygon
      11ms  0.22%   0.5%      914ms 18.20%  vtkCell::vtkCell
         0     0%   0.5%      796ms 15.85%  VertexMeshWriter::WriteFiles
       1ms  0.02%  0.52%      787ms 15.67%  vtkPoints::New
      68ms  1.35%  1.87%      776ms 15.45%  std::ostream::_M_insert
       3ms  0.06%  1.93%      775ms 15.43%  std::ostream::operator<< (inline)
      15ms   0.3%  2.23%      742ms 14.77%  vtkPoints::vtkPoints
      38ms  0.76%  2.99%      635ms 12.64%  operator new
      48ms  0.96%  3.94%      622ms 12.38%  std::num_put::_M_insert_float
       2ms  0.04%  3.98%      619ms 12.32%  vtkLine::New
       1ms  0.02%  4.00%      617ms 12.28%  vtkQuad::New
       1ms  0.02%  4.02%      612ms 12.18%  vtkQuad::vtkQuad
     229ms  4.56%  8.58%      603ms 12.00%  __GI___libc_malloc
         0     0%  8.58%      596ms 11.87%  vtkStreamingDemandDrivenPipeline::Update
         0     0%  8.58%      596ms 11.87%  vtkXMLWriterBase::Write
         0     0%  8.58%      594ms 11.83%  vtkDemandDrivenPipeline::ProcessRequest
         0     0%  8.58%      593ms 11.81%  vtkStreamingDemandDrivenPipeline::ProcessRequest
         0     0%  8.58%      591ms 11.77%  vtkDemandDrivenPipeline::ExecuteData
         0     0%  8.58%      591ms 11.77%  vtkExecutive::CallAlgorithm
         0     0%  8.58%      590ms 11.75%  vtkXMLUnstructuredDataWriter::ProcessRequest
         0     0%  8.58%      589ms 11.73%  vtkCompositeDataPipeline::ExecuteData
       7ms  0.14%  8.72%      589ms 11.73%  vtkLine::vtkLine
     179ms  3.56% 12.28%      574ms 11.43%  __GI___libc_free
         0     0% 12.28%      571ms 11.37%  vtkTriangle::New
       5ms   0.1% 12.38%      564ms 11.23%  vtkTriangle::vtkTriangle
         0     0% 12.38%      518ms 10.31%  vtkXMLUnstructuredDataWriter::WriteAPiece
         0     0% 12.38%      518ms 10.31%  vtkXMLUnstructuredGridWriter::WriteAppendedPieceData
       5ms   0.1% 12.48%      488ms  9.72%  std::__cxx11::collate::do_transform
      29ms  0.58% 13.06%      486ms  9.68%  vtkPoints::SetDataType
       4ms  0.08% 13.14%      465ms  9.26%  ___vsnprintf
         0     0% 13.14%      461ms  9.18%  __vsnprintf_internal (inline)
         0     0% 13.14%      456ms  9.08%  vtkXMLWriter::WriteBinaryData
      63ms  1.25% 14.39%      454ms  9.04%  __printf_buffer
       1ms  0.02% 14.41%      451ms  8.98%  vtkXMLWriter::WriteBinaryDataInternal
         0     0% 14.41%      450ms  8.96%  vtkXMLWriter::WriteBinaryDataBlock
         0     0% 14.41%      444ms  8.84%  vtkXMLUnstructuredDataWriter::WriteAppendedPieceData
         0     0% 14.41%      410ms  8.16%  vtkPolygon::~vtkPolygon
     233ms  4.64% 19.05%      395ms  7.86%  _int_free
         0     0% 19.05%      372ms  7.41%  AbstractTetrahedralMeshWriter::WriteFilesUsingMesh
         0     0% 19.05%      368ms  7.33%  VtkMeshWriter::WriteFiles
      17ms  0.34% 19.39%      356ms  7.09%  __printf_fp_l_buffer
         0     0% 19.39%      356ms  7.09%  __printf_fp_spec (inline)
     170ms  3.38% 22.78%      331ms  6.59%  __printf_fp_buffer_1
         0     0% 22.78%      330ms  6.57%  vtkXMLWriter::WritePointsAppendedData
       4ms  0.08% 22.85%      326ms  6.49%  vtkCell::~vtkCell
     222ms  4.42% 27.27%      320ms  6.37%  _int_malloc
       1ms  0.02% 27.29%      316ms  6.29%  OnLatticeSimulation::UpdateCellLocationsAndTopology
       9ms  0.18% 27.47%      315ms  6.27%  PottsBasedCellPopulation::UpdateCellLocations
      53ms  1.06% 28.53%      290ms  5.77%  vtkAOSDataArrayTemplate::vtkAOSDataArrayTemplate
       1ms  0.02% 28.55%      285ms  5.67%  std::__new_allocator::deallocate (inline)
         0     0% 28.55%      282ms  5.61%  std::allocator_traits::deallocate (inline)
      40ms   0.8% 29.35%      275ms  5.47%  std::__new_allocator::allocate (inline)
         0     0% 29.35%      275ms  5.47%  std::allocator_traits::allocate (inline)
         0     0% 29.35%      242ms  4.82%  vtkXMLWriter::WriteCompressionBlock
         0     0% 29.35%      238ms  4.74%  tbb::detail::r1::parallel_pipeline
         0     0% 29.35%      231ms  4.60%  vtkDataCompressor::Compress
         0     0% 29.35%      230ms  4.58%  clone3
         0     0% 29.35%      230ms  4.58%  start_thread
         0     0% 29.35%      229ms  4.56%  compress2
         0     0% 29.35%      229ms  4.56%  tbb::detail::r1::reset
         0     0% 29.35%      229ms  4.56%  vtkZLibDataCompressor::CompressBuffer
      77ms  1.53% 30.88%      228ms  4.54%  crc32
         0     0% 30.88%      228ms  4.54%  deflate
      95ms  1.89% 32.77%      228ms  4.54%  tbb::detail::r1::wait_bounded_queue_monitor
       4ms  0.08% 32.85%      221ms  4.40%  vtkPoints::~vtkPoints
      11ms  0.22% 33.07%      216ms  4.30%  vtkBase64OutputStream::Write
      13ms  0.26% 33.33%      205ms  4.08%  vtkBase64OutputStream::EncodeTriplet
         0     0% 33.33%      193ms  3.84%  VertexMesh::~VertexMesh
       1ms  0.02% 33.35%      191ms  3.80%  std::set::set (inline)
      15ms   0.3% 33.65%      189ms  3.76%  std::_Rb_tree::_Rb_tree
       1ms  0.02% 33.67%      186ms  3.70%  vtkTriangle::~vtkTriangle
       5ms   0.1% 33.76%      185ms  3.68%  std::_Rb_tree::~_Rb_tree (inline)
      54ms  1.08% 34.84%      183ms  3.64%  std::_Rb_tree::_M_erase
       2ms  0.04% 34.88%      181ms  3.60%  vtkQuad::~vtkQuad
       5ms   0.1% 34.98%      177ms  3.52%  vtkFloatArray::New
         0     0% 34.98%      172ms  3.42%  std::vector::~vector (inline)
       2ms  0.04% 35.02%      172ms  3.42%  vtkTypeFloat64Array::~vtkTypeFloat64Array
       2ms  0.04% 35.06%      169ms  3.36%  vtkLine::GetParametricCenter
      55ms  1.09% 36.15%      168ms  3.34%  std::ostream::write
       2ms  0.04% 36.19%      165ms  3.28%  std::_Vector_base::_M_deallocate (inline)
         0     0% 36.19%      163ms  3.25%  std::_Rb_tree::_M_create_node (inline)
       1ms  0.02% 36.21%      162ms  3.23%  NodesOnlyMesh::ConstructNodesWithoutMesh
       6ms  0.12% 36.33%      159ms  3.17%  vtkDataArray::CreateDataArray
         0     0% 36.33%      156ms  3.11%  std::_Rb_tree::_M_get_node (inline)
       1ms  0.02% 36.35%      154ms  3.07%  NodeLocationWriter::VisitAnyPopulation
         0     0% 36.35%      154ms  3.07%  VertexMesh::VertexMesh
       3ms  0.06% 36.41%      154ms  3.07%  vtkFloatArray::vtkFloatArray
       9ms  0.18% 36.59%      154ms  3.07%  vtkIdList::AllocateInternal
      98ms  1.95% 38.54%      153ms  3.05%  malloc_consolidate
       8ms  0.16% 38.70%      148ms  2.95%  std::vector::_M_default_append
      72ms  1.43% 40.14%      147ms  2.93%  std::basic_filebuf::xsputn
       2ms  0.04% 40.18%      144ms  2.87%  vtkFloatArray::~vtkFloatArray
       6ms  0.12% 40.29%      142ms  2.83%  vtkTypeFloat64Array::New
       2ms  0.04% 40.33%      141ms  2.81%  vtkDoubleArray::vtkDoubleArray
         0     0% 40.33%      140ms  2.79%  std::_Rb_tree::_Alloc_node::operator() (inline)
