File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3766ms, 76.10% of 4949ms total
Dropped 802 nodes (cum <= 24.75ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     4742ms 95.82%  __libc_start_call_main
         0     0%     0%     4742ms 95.82%  __libc_start_main_impl
         0     0%     0%     4742ms 95.82%  _start
         0     0%     0%     4726ms 95.49%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%     4726ms 95.49%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%     4726ms 95.49%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%     4726ms 95.49%  main
         0     0%     0%     4685ms 94.67%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%     4685ms 94.67%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%     4685ms 94.67%  TestRepresentativePottsBasedOnLatticeSimulation::TestPottsMonolayerCellSorting
         0     0%     0%     4673ms 94.42%  AbstractCellBasedSimulation::Solve
         0     0%     0%     4348ms 87.86%  AbstractCellPopulation::WriteResultsToFiles
       8ms  0.16%  0.16%     4111ms 83.07%  PottsBasedCellPopulation::WriteVtkResultsToFile
         0     0%  0.16%     1992ms 40.25%  VertexMeshWriter::WriteVtkUsingMesh
       1ms  0.02%  0.18%     1712ms 34.59%  VertexMeshWriter::MakeVtkMesh
         0     0%  0.18%     1283ms 25.92%  vtkPolygon::New
         0     0%  0.18%     1280ms 25.86%  vtkPolygon::vtkPolygon
       5ms   0.1%  0.28%      931ms 18.81%  vtkCell::vtkCell
       1ms  0.02%   0.3%      808ms 16.33%  vtkPoints::New
         0     0%   0.3%      792ms 16.00%  VertexMeshWriter::WriteFiles
      14ms  0.28%  0.59%      767ms 15.50%  vtkPoints::vtkPoints
      47ms  0.95%  1.54%      736ms 14.87%  std::ostream::_M_insert
       2ms  0.04%  1.58%      735ms 14.85%  std::ostream::operator<< (inline)
      45ms  0.91%  2.49%      653ms 13.19%  operator new
     194ms  3.92%  6.41%      613ms 12.39%  __GI___libc_malloc
      38ms  0.77%  7.17%      605ms 12.22%  std::num_put::_M_insert_float
       3ms 0.061%  7.23%      605ms 12.22%  vtkLine::New
       2ms  0.04%  7.27%      594ms 12.00%  vtkQuad::New
       5ms   0.1%  7.38%      590ms 11.92%  vtkQuad::vtkQuad
       1ms  0.02%  7.40%      588ms 11.88%  vtkStreamingDemandDrivenPipeline::Update
         0     0%  7.40%      588ms 11.88%  vtkXMLWriterBase::Write
         0     0%  7.40%      586ms 11.84%  vtkDemandDrivenPipeline::ProcessRequest
         0     0%  7.40%      584ms 11.80%  vtkDemandDrivenPipeline::ExecuteData
         0     0%  7.40%      584ms 11.80%  vtkStreamingDemandDrivenPipeline::ProcessRequest
         0     0%  7.40%      583ms 11.78%  vtkCompositeDataPipeline::ExecuteData
         0     0%  7.40%      582ms 11.76%  vtkExecutive::CallAlgorithm
         0     0%  7.40%      582ms 11.76%  vtkXMLUnstructuredDataWriter::ProcessRequest
       5ms   0.1%  7.50%      577ms 11.66%  vtkLine::vtkLine
       1ms  0.02%  7.52%      574ms 11.60%  vtkTriangle::New
       2ms  0.04%  7.56%      569ms 11.50%  vtkTriangle::vtkTriangle
     164ms  3.31% 10.87%      532ms 10.75%  __GI___libc_free
         0     0% 10.87%      517ms 10.45%  vtkXMLUnstructuredDataWriter::WriteAPiece
         0     0% 10.87%      517ms 10.45%  vtkXMLUnstructuredGridWriter::WriteAppendedPieceData
      32ms  0.65% 11.52%      488ms  9.86%  vtkPoints::SetDataType
       9ms  0.18% 11.70%      473ms  9.56%  std::__cxx11::collate::do_transform
         0     0% 11.70%      446ms  9.01%  vtkXMLWriter::WriteBinaryData
       1ms  0.02% 11.72%      443ms  8.95%  ___vsnprintf
       1ms  0.02% 11.74%      442ms  8.93%  __vsnprintf_internal (inline)
         0     0% 11.74%      437ms  8.83%  vtkXMLUnstructuredDataWriter::WriteAppendedPieceData
       1ms  0.02% 11.76%      437ms  8.83%  vtkXMLWriter::WriteBinaryDataInternal
         0     0% 11.76%      436ms  8.81%  vtkXMLWriter::WriteBinaryDataBlock
      47ms  0.95% 12.71%      430ms  8.69%  __printf_buffer
       1ms  0.02% 12.73%      372ms  7.52%  vtkPolygon::~vtkPolygon
     243ms  4.91% 17.64%      366ms  7.40%  _int_free
      21ms  0.42% 18.06%      354ms  7.15%  __printf_fp_l_buffer
         0     0% 18.06%      354ms  7.15%  __printf_fp_spec (inline)
         0     0% 18.06%      349ms  7.05%  AbstractTetrahedralMeshWriter::WriteFilesUsingMesh
     229ms  4.63% 22.69%      347ms  7.01%  _int_malloc
         0     0% 22.69%      343ms  6.93%  VtkMeshWriter::WriteFiles
         0     0% 22.69%      318ms  6.43%  vtkXMLWriter::WritePointsAppendedData
         0     0% 22.69%      311ms  6.28%  OnLatticeSimulation::UpdateCellLocationsAndTopology
       2ms  0.04% 22.73%      311ms  6.28%  PottsBasedCellPopulation::UpdateCellLocations
     150ms  3.03% 25.76%      310ms  6.26%  __printf_fp_buffer_1
      60ms  1.21% 26.98%      309ms  6.24%  std::__new_allocator::allocate (inline)
         0     0% 26.98%      306ms  6.18%  std::allocator_traits::allocate (inline)
      52ms  1.05% 28.03%      303ms  6.12%  vtkAOSDataArrayTemplate::vtkAOSDataArrayTemplate
       1ms  0.02% 28.05%      296ms  5.98%  vtkCell::~vtkCell
       3ms 0.061% 28.11%      252ms  5.09%  std::__new_allocator::deallocate (inline)
         0     0% 28.11%      250ms  5.05%  std::allocator_traits::deallocate (inline)
       9ms  0.18% 28.29%      224ms  4.53%  std::_Rb_tree::_Rb_tree
