File: TestChasteBuildInfo
Type: cpu
Showing nodes accounting for 32ms, 100% of 32ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%       31ms 96.88%  __libc_start_call_main
         0     0%     0%       31ms 96.88%  __libc_start_main_impl
         0     0%     0%       31ms 96.88%  _start
         0     0%     0%       30ms 93.75%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%       30ms 93.75%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%       30ms 93.75%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%       30ms 93.75%  main
         0     0%     0%       28ms 87.50%  CxxTest::RealWorldDescription::setUp
         0     0%     0%       28ms 87.50%  PMPI_Init_thread
         0     0%     0%       28ms 87.50%  PetscInitialize
         0     0%     0%       28ms 87.50%  PetscSetup::setUpWorld
         0     0%     0%       28ms 87.50%  PetscSetupUtils::CommonSetup
         0     0%     0%       28ms 87.50%  PetscSetupUtils::InitialisePetsc
         0     0%     0%       28ms 87.50%  ompi_mpi_init
       2ms  6.25%  6.25%       25ms 78.12%  <unknown>
         0     0%  6.25%       21ms 65.62%  orte_init
         0     0%  6.25%       13ms 40.62%  hwloc_topology_load
         0     0%  6.25%       11ms 34.38%  __GI__dl_catch_exception
         0     0%  6.25%       11ms 34.38%  _dl_catch_error
         0     0%  6.25%       11ms 34.38%  _dlerror_run
         0     0%  6.25%       11ms 34.38%  hwloc_linux_get_tid_last_cpu_location
         0     0%  6.25%       10ms 31.25%  ___dlopen
         0     0%  6.25%       10ms 31.25%  _dl_open
         0     0%  6.25%       10ms 31.25%  dl_open_worker
         0     0%  6.25%       10ms 31.25%  dlopen_doit
         0     0%  6.25%       10ms 31.25%  dlopen_implementation (inline)
         0     0%  6.25%       10ms 31.25%  mca_base_framework_open
         0     0%  6.25%       10ms 31.25%  mca_base_framework_register
         0     0%  6.25%        9ms 28.12%  dl_open_worker_begin
         0     0%  6.25%        9ms 28.12%  mca_base_framework_components_register
         0     0%  6.25%        9ms 28.12%  opal_stackframe_output
         0     0%  6.25%        8ms 25.00%  _dl_map_object
         0     0%  6.25%        8ms 25.00%  mca_base_component_find
         0     0%  6.25%        8ms 25.00%  mca_base_component_repository_open
       4ms 12.50% 18.75%        4ms 12.50%  __libc_openat64
         0     0% 18.75%        4ms 12.50%  _dl_map_object_from_fd
         0     0% 18.75%        4ms 12.50%  opal_hwloc_base_get_topology
         0     0% 18.75%        4ms 12.50%  orte_ess_base_proc_binding
         0     0% 18.75%        3ms  9.38%  XOpenDisplay
         0     0% 18.75%        3ms  9.38%  [hwloc_gl.so]
         0     0% 18.75%        3ms  9.38%  [libxcb.so.1.1.0]
         0     0% 18.75%        3ms  9.38%  _XConnectXCB
       3ms  9.38% 28.12%        3ms  9.38%  __GI___libc_read
       3ms  9.38% 37.50%        3ms  9.38%  __GI___open64_nocancel
         0     0% 37.50%        3ms  9.38%  _dl_map_object_deps
         0     0% 37.50%        3ms  9.38%  _dl_map_segments (inline)
         0     0% 37.50%        3ms  9.38%  openaux
         0     0% 37.50%        3ms  9.38%  xcb_connect_to_display_with_auth_info
         0     0% 37.50%        2ms  6.25%  CxxTest::RealWorldDescription::tearDown
         0     0% 37.50%        2ms  6.25%  PetscFinalize
         0     0% 37.50%        2ms  6.25%  PetscSetup::tearDownWorld
         0     0% 37.50%        2ms  6.25%  PetscSetupUtils::CommonFinalize
       2ms  6.25% 43.75%        2ms  6.25%  __GI___fstat64
         0     0% 43.75%        2ms  6.25%  __GI_getaddrinfo
       2ms  6.25% 50.00%        2ms  6.25%  __mmap64
         0     0% 50.00%        2ms  6.25%  hwloc_alloc_setup_object
         0     0% 50.00%        2ms  6.25%  hwloc_backend_enable
         0     0% 50.00%        2ms  6.25%  hwloc_topology_export_xmlbuffer
         0     0% 50.00%        2ms  6.25%  mca_base_components_close
         0     0% 50.00%        2ms  6.25%  mca_base_var_group_register
         0     0% 50.00%        2ms  6.25%  mca_base_var_register
         0     0% 50.00%        2ms  6.25%  ompi_mpi_finalize
         0     0% 50.00%        2ms  6.25%  open_verify
       2ms  6.25% 56.25%        2ms  6.25%  strcmp
         0     0% 56.25%        1ms  3.12%  [hwloc_pci.so]
         0     0% 56.25%        1ms  3.12%  [libpciaccess.so.0.11.1]
         0     0% 56.25%        1ms  3.12%  _GLOBAL__sub_I_DistributedVectorFactory.cpp
         0     0% 56.25%        1ms  3.12%  _IO_new_file_seekoff
         0     0% 56.25%        1ms  3.12%  __GI__Fork
         0     0% 56.25%        1ms  3.12%  __GI__IO_doallocbuf
         0     0% 56.25%        1ms  3.12%  __GI__IO_file_doallocate
       1ms  3.12% 59.38%        1ms  3.12%  __GI___close
         0     0% 59.38%        1ms  3.12%  __GI___nss_files_fopen
         0     0% 59.38%        1ms  3.12%  __GI___setsockopt
         0     0% 59.38%        1ms  3.12%  __GI__nss_files_gethostbyname4_r
         0     0% 59.38%        1ms  3.12%  __GI_exit
         0     0% 59.38%        1ms  3.12%  __GI_getenv
       1ms  3.12% 62.50%        1ms  3.12%  __GI_munmap
       1ms  3.12% 65.62%        1ms  3.12%  ___pthread_mutex_init
         0     0% 65.62%        1ms  3.12%  __check_pf
         0     0% 65.62%        1ms  3.12%  __cxa_finalize
         0     0% 65.62%        1ms  3.12%  __dlclose
         0     0% 65.62%        1ms  3.12%  __fseeko
         0     0% 65.62%        1ms  3.12%  __libc_fork
       1ms  3.12% 68.75%        1ms  3.12%  __libc_sendto
         0     0% 68.75%        1ms  3.12%  __opendir
