File: TestChasteBuildInfo
Type: cpu
Showing nodes accounting for 38ms, 100% of 38ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%       37ms 97.37%  __libc_start_call_main
         0     0%     0%       37ms 97.37%  __libc_start_main_impl
         0     0%     0%       37ms 97.37%  _start
         0     0%     0%       37ms 97.37%  main
         0     0%     0%       34ms 89.47%  CxxTest::RealWorldDescription::setUp
         0     0%     0%       34ms 89.47%  PMPI_Init_thread
         0     0%     0%       34ms 89.47%  PetscInitialize
         0     0%     0%       34ms 89.47%  PetscSetup::setUpWorld
         0     0%     0%       34ms 89.47%  PetscSetupUtils::CommonSetup
         0     0%     0%       34ms 89.47%  PetscSetupUtils::InitialisePetsc
         0     0%     0%       34ms 89.47%  ompi_mpi_init
       1ms  2.63%  2.63%       32ms 84.21%  <unknown>
         0     0%  2.63%       24ms 63.16%  orte_init
         0     0%  2.63%       15ms 39.47%  hwloc_topology_load
         0     0%  2.63%       14ms 36.84%  hwloc_linux_get_tid_last_cpu_location
         0     0%  2.63%       13ms 34.21%  mca_base_framework_open
         0     0%  2.63%       12ms 31.58%  __GI__dl_catch_exception
         0     0%  2.63%       12ms 31.58%  _dl_catch_error
         0     0%  2.63%       12ms 31.58%  _dlerror_run
         0     0%  2.63%       11ms 28.95%  mca_base_framework_components_register
         0     0%  2.63%       11ms 28.95%  mca_base_framework_register
         0     0%  2.63%       11ms 28.95%  opal_stackframe_output
         0     0%  2.63%       10ms 26.32%  ___dlopen
         0     0%  2.63%       10ms 26.32%  _dl_open
         0     0%  2.63%       10ms 26.32%  dl_open_worker
         0     0%  2.63%       10ms 26.32%  dlopen_doit
         0     0%  2.63%       10ms 26.32%  dlopen_implementation (inline)
         0     0%  2.63%        9ms 23.68%  mca_base_component_find
         0     0%  2.63%        9ms 23.68%  mca_base_component_repository_open
         0     0%  2.63%        8ms 21.05%  dl_open_worker_begin
       1ms  2.63%  5.26%        7ms 18.42%  _dl_map_object
         0     0%  5.26%        6ms 15.79%  opal_hwloc_base_get_topology
         0     0%  5.26%        6ms 15.79%  orte_ess_base_proc_binding
         0     0%  5.26%        4ms 10.53%  _dl_map_object_deps
         0     0%  5.26%        4ms 10.53%  mca_base_framework_components_open
         0     0%  5.26%        4ms 10.53%  mca_topo_base_dist_graph_neighbors_count
         0     0%  5.26%        4ms 10.53%  openaux
         0     0%  5.26%        3ms  7.89%  CxxTest::RealWorldDescription::tearDown
         0     0%  5.26%        3ms  7.89%  PetscFinalize
         0     0%  5.26%        3ms  7.89%  PetscSetup::tearDownWorld
         0     0%  5.26%        3ms  7.89%  PetscSetupUtils::CommonFinalize
         0     0%  5.26%        3ms  7.89%  XOpenDisplay
         0     0%  5.26%        3ms  7.89%  [hwloc_gl.so]
         0     0%  5.26%        3ms  7.89%  [libxcb.so.1.1.0]
         0     0%  5.26%        3ms  7.89%  _XConnectXCB
       3ms  7.89% 13.16%        3ms  7.89%  __GI___libc_read
         0     0% 13.16%        3ms  7.89%  _dl_map_object_from_fd
         0     0% 13.16%        3ms  7.89%  ompi_mpi_finalize
         0     0% 13.16%        3ms  7.89%  xcb_connect_to_display_with_auth_info
         0     0% 13.16%        2ms  5.26%  [hwloc_pci.so]
         0     0% 13.16%        2ms  5.26%  [libpciaccess.so.0.11.1]
       2ms  5.26% 18.42%        2ms  5.26%  __GI___clock_nanosleep
       1ms  2.63% 21.05%        2ms  5.26%  __GI___libc_malloc
         0     0% 21.05%        2ms  5.26%  __GI___nanosleep
         0     0% 21.05%        2ms  5.26%  __GI_getaddrinfo
       2ms  5.26% 26.32%        2ms  5.26%  __GI_socket
         0     0% 26.32%        2ms  5.26%  __check_pf
         0     0% 26.32%        2ms  5.26%  __dlclose
       2ms  5.26% 31.58%        2ms  5.26%  __libc_openat64
         0     0% 31.58%        2ms  5.26%  _dl_close
         0     0% 31.58%        2ms  5.26%  _dl_close_worker (inline)
         0     0% 31.58%        2ms  5.26%  _dl_init
         0     0% 31.58%        2ms  5.26%  _dl_lookup_symbol_x
         0     0% 31.58%        2ms  5.26%  _dl_sort_maps
         0     0% 31.58%        2ms  5.26%  _dl_sort_maps_dfs (inline)
         0     0% 31.58%        2ms  5.26%  call_init (inline)
       2ms  5.26% 36.84%        2ms  5.26%  dfs_traversal (inline)
       2ms  5.26% 42.11%        2ms  5.26%  do_lookup_x
       2ms  5.26% 47.37%        2ms  5.26%  elf_get_dynamic_info (inline)
         0     0% 47.37%        2ms  5.26%  hwloc_topology_export_xmlbuffer
         0     0% 47.37%        2ms  5.26%  mca_base_component_repository_release
         0     0% 47.37%        2ms  5.26%  mca_base_components_close
         0     0% 47.37%        2ms  5.26%  mca_base_framework_close
         0     0% 47.37%        2ms  5.26%  pci_get_strings
         0     0% 47.37%        2ms  5.26%  usleep
         0     0% 47.37%        1ms  2.63%  [libmpi.so.40.30.6]
         0     0% 47.37%        1ms  2.63%  __GI__Fork
       1ms  2.63% 50.00%        1ms  2.63%  __GI___close
       1ms  2.63% 52.63%        1ms  2.63%  __GI___getdents64
       1ms  2.63% 55.26%        1ms  2.63%  __GI___getrandom
         0     0% 55.26%        1ms  2.63%  __GI___libc_free
       1ms  2.63% 57.89%        1ms  2.63%  __GI___open64_nocancel
         0     0% 57.89%        1ms  2.63%  __GI___readdir64
         0     0% 57.89%        1ms  2.63%  ___pthread_cond_broadcast
         0     0% 57.89%        1ms  2.63%  ___pthread_cond_wait
       1ms  2.63% 60.53%        1ms  2.63%  __condvar_dec_grefs (inline)
       1ms  2.63% 63.16%        1ms  2.63%  __faccessat
         0     0% 63.16%        1ms  2.63%  __glob
       1ms  2.63% 65.79%        1ms  2.63%  __libc_connect
         0     0% 65.79%        1ms  2.63%  __libc_fork
       1ms  2.63% 68.42%        1ms  2.63%  __libc_sendto
       1ms  2.63% 71.05%        1ms  2.63%  __memcpy_avx_unaligned_erms
         0     0% 71.05%        1ms  2.63%  __pthread_cond_wait_common (inline)
       1ms  2.63% 73.68%        1ms  2.63%  __strchr_avx2
       1ms  2.63% 76.32%        1ms  2.63%  __strlen_avx2
         0     0% 76.32%        1ms  2.63%  _dl_fixup
       1ms  2.63% 78.95%        1ms  2.63%  _dl_load_cache_lookup
         0     0% 78.95%        1ms  2.63%  _dl_map_segments (inline)
         0     0% 78.95%        1ms  2.63%  _dl_open_relocate_one_object (inline)
         0     0% 78.95%        1ms  2.63%  _dl_relocate_object
         0     0% 78.95%        1ms  2.63%  _dl_runtime_resolve_xsavec
       1ms  2.63% 81.58%        1ms  2.63%  _int_free
         0     0% 81.58%        1ms  2.63%  _int_malloc
       1ms  2.63% 84.21%        1ms  2.63%  arch_fork (inline)
         0     0% 84.21%        1ms  2.63%  clone3
         0     0% 84.21%        1ms  2.63%  elf_dynamic_do_Rela (inline)
         0     0% 84.21%        1ms  2.63%  elf_machine_rela (inline)
         0     0% 84.21%        1ms  2.63%  event_base_loop
         0     0% 84.21%        1ms  2.63%  event_del_nolock_
       1ms  2.63% 86.84%        1ms  2.63%  evthread_set_lock_callbacks
         0     0% 86.84%        1ms  2.63%  evthread_use_pthreads
       1ms  2.63% 89.47%        1ms  2.63%  futex_wake (inline)
         0     0% 89.47%        1ms  2.63%  glob_in_dir
         0     0% 89.47%        1ms  2.63%  hwloc_alloc_setup_object
         0     0% 89.47%        1ms  2.63%  hwloc_backend_enable
         0     0% 89.47%        1ms  2.63%  hwloc_topology_set_userdata_import_callback
         0     0% 89.47%        1ms  2.63%  make_request (inline)
         0     0% 89.47%        1ms  2.63%  mca_base_pvar_register
