File: TestLongPostprocessing
Type: cpu
Showing nodes accounting for 50097ms, 93.60% of 53521ms total
Dropped 746 nodes (cum <= 267.61ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%    53501ms   100%  __libc_start_call_main
         0     0%     0%    53501ms   100%  __libc_start_main_impl
         0     0%     0%    53501ms   100%  _start
         0     0%     0%    53498ms   100%  main
         0     0%     0%    53457ms 99.88%  TestLongPostprocessing::Test2DSimulations
         0     0%     0%    53394ms 99.76%  AbstractCardiacProblem::Solve
       5ms 0.0093% 0.0093%    53275ms 99.54%  AbstractDynamicLinearPdeSolver::Solve
     609ms  1.14%  1.15%    44619ms 83.37%  AbstractCardiacTissue::SolveCellSystems
     523ms  0.98%  2.12%    30985ms 57.89%  AbstractCardiacCell::ComputeExceptVoltage
     560ms  1.05%  3.17%    28578ms 53.40%  AbstractOneStepIvpOdeSolver::InternalSolve
    2156ms  4.03%  7.20%    25635ms 47.90%  EulerIvpOdeSolver::CalculateNextYValue
    6623ms 12.37% 19.57%    23279ms 43.50%  CellLuoRudy1991FromCellML::EvaluateYDerivatives
    8975ms 16.77% 36.34%    18297ms 34.19%  __GI___exp
    3994ms  7.46% 43.81%    10362ms 19.36%  CellLuoRudy1991FromCellML::GetIIonic
    7404ms 13.83% 57.64%     8829ms 16.50%  __ieee754_exp_fma
       3ms 0.0056% 57.64%     5983ms 11.18%  LinearSystem::Solve
         0     0% 57.64%     5795ms 10.83%  KSPSolve
       6ms 0.011% 57.66%     5795ms 10.83%  KSPSolve_Private
       7ms 0.013% 57.67%     5784ms 10.81%  KSPSolve_CG
       1ms 0.0019% 57.67%     3563ms  6.66%  PCApply
         0     0% 57.67%     3556ms  6.64%  PCApply_BJacobi_Singleblock
       2ms 0.0037% 57.67%     3463ms  6.47%  KSPSolve_PREONLY
       1ms 0.0019% 57.68%     3447ms  6.44%  PCApply_ICC
       2ms 0.0037% 57.68%     3446ms  6.44%  MatSolve
    3394ms  6.34% 64.02%     3444ms  6.43%  MatSolve_SeqSBAIJ_1_NaturalOrdering
     308ms  0.58% 64.60%     3258ms  6.09%  __pow
     280ms  0.52% 65.12%     2945ms  5.50%  __ieee754_pow_fma
         0     0% 65.12%     2680ms  5.01%  KSP_PCApply.lto_priv.7
    1527ms  2.85% 67.97%     2621ms  4.90%  MonodomainSolver::SetupLinearSystem
       1ms 0.0019% 67.98%     1509ms  2.82%  MatMult
    1503ms  2.81% 70.78%     1508ms  2.82%  MatMult_SeqAIJ
    1112ms  2.08% 72.86%     1469ms  2.74%  CellLuoRudy1991FromCellML::VerifyStateVariables
    1447ms  2.70% 75.56%     1447ms  2.70%  log_inline (inline)
       4ms 0.0075% 75.57%     1099ms  2.05%  KSPConvergedDefault
    1050ms  1.96% 77.53%     1080ms  2.02%  exp_inline (inline)
     823ms  1.54% 79.07%     1075ms  2.01%  top12 (inline)
    1041ms  1.95% 81.02%     1041ms  1.95%  [libchaste_heart.so]
         0     0% 81.02%      890ms  1.66%  KSP_PCApply
     400ms  0.75% 81.76%      858ms  1.60%  TimeStepper::TimeStepper
     839ms  1.57% 83.33%      839ms  1.57%  ddot_
     422ms  0.79% 84.12%      837ms  1.56%  TimeStepper::AdvanceOneTimeStep
     815ms  1.52% 85.64%      815ms  1.52%  TimeStepper::CalculateNextTime
     779ms  1.46% 87.10%      779ms  1.46%  asuint64 (inline)
     653ms  1.22% 88.32%      662ms  1.24%  __ieee754_log_fma
     226ms  0.42% 88.74%      540ms  1.01%  AbstractCardiacCellInterface::SetVoltageDerivativeToZero
     502ms  0.94% 89.68%      502ms  0.94%  [libm.so.6]
       2ms 0.0037% 89.68%      488ms  0.91%  VecTDot
         0     0% 89.68%      484ms   0.9%  VecTDot_Seq
       2ms 0.0037% 89.69%      484ms   0.9%  VecXDot_Seq_Private.constprop.0
     382ms  0.71% 90.40%      471ms  0.88%  AbstractOneStepIvpOdeSolver::Solve
     395ms  0.74% 91.14%      464ms  0.87%  AbstractIvpOdeSolver::SolveAndUpdateStateVariable
       1ms 0.0019% 91.14%      433ms  0.81%  VecNorm
       1ms 0.0019% 91.14%      425ms  0.79%  VecNorm_Seq
     422ms  0.79% 91.93%      422ms  0.79%  AbstractParameterisedSystem::SetAnyVariable
     396ms  0.74% 92.67%      396ms  0.74%  AbstractParameterisedSystem::GetAnyVariable
     390ms  0.73% 93.40%      390ms  0.73%  TimeStepper::GetNextTimeStep
     109ms   0.2% 93.60%      365ms  0.68%  AbstractCardiacCell::SetVoltage
