File: TestChasteBuildInfo
Type: cpu
Showing nodes accounting for 39ms, 100% of 39ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%       38ms 97.44%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%       38ms 97.44%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%       38ms 97.44%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%       38ms 97.44%  __libc_start_call_main
         0     0%     0%       38ms 97.44%  __libc_start_main_impl
         0     0%     0%       38ms 97.44%  _start
         0     0%     0%       38ms 97.44%  main
         0     0%     0%       34ms 87.18%  CxxTest::RealWorldDescription::setUp
         0     0%     0%       34ms 87.18%  PetscInitialize
         0     0%     0%       34ms 87.18%  PetscSetup::setUpWorld
         0     0%     0%       34ms 87.18%  PetscSetupUtils::CommonSetup
         0     0%     0%       34ms 87.18%  PetscSetupUtils::InitialisePetsc
         0     0%     0%       33ms 84.62%  PMPI_Init_thread
         0     0%     0%       33ms 84.62%  ompi_mpi_init
       1ms  2.56%  2.56%       29ms 74.36%  <unknown>
         0     0%  2.56%       23ms 58.97%  orte_init
         0     0%  2.56%       16ms 41.03%  __GI__dl_catch_exception
         0     0%  2.56%       16ms 41.03%  _dl_catch_error
         0     0%  2.56%       16ms 41.03%  _dlerror_run
         0     0%  2.56%       14ms 35.90%  hwloc_topology_load
         0     0%  2.56%       14ms 35.90%  mca_base_framework_open
         0     0%  2.56%       14ms 35.90%  opal_stackframe_output
         0     0%  2.56%       13ms 33.33%  ___dlopen
         0     0%  2.56%       13ms 33.33%  _dl_open
         0     0%  2.56%       13ms 33.33%  dl_open_worker
         0     0%  2.56%       13ms 33.33%  dlopen_doit
         0     0%  2.56%       13ms 33.33%  dlopen_implementation (inline)
         0     0%  2.56%       12ms 30.77%  hwloc_linux_get_tid_last_cpu_location
         0     0%  2.56%       12ms 30.77%  mca_base_framework_components_register
         0     0%  2.56%       12ms 30.77%  mca_base_framework_register
         0     0%  2.56%       11ms 28.21%  mca_base_component_find
         0     0%  2.56%       11ms 28.21%  mca_base_component_repository_open
         0     0%  2.56%       10ms 25.64%  dl_open_worker_begin
         0     0%  2.56%        6ms 15.38%  _dl_lookup_symbol_x
         0     0%  2.56%        6ms 15.38%  _dl_open_relocate_one_object (inline)
         0     0%  2.56%        6ms 15.38%  _dl_relocate_object
         0     0%  2.56%        6ms 15.38%  elf_dynamic_do_Rela (inline)
         0     0%  2.56%        6ms 15.38%  elf_machine_rela (inline)
         0     0%  2.56%        6ms 15.38%  mca_base_framework_components_open
         0     0%  2.56%        6ms 15.38%  resolve_map (inline)
       5ms 12.82% 15.38%        5ms 12.82%  __GI___libc_read
       5ms 12.82% 28.21%        5ms 12.82%  do_lookup_x
         0     0% 28.21%        5ms 12.82%  mca_topo_base_dist_graph_neighbors_count
         0     0% 28.21%        5ms 12.82%  opal_hwloc_base_get_topology
         0     0% 28.21%        5ms 12.82%  orte_ess_base_proc_binding
         0     0% 28.21%        4ms 10.26%  _dl_map_object
         0     0% 28.21%        3ms  7.69%  CxxTest::RealWorldDescription::tearDown
         0     0% 28.21%        3ms  7.69%  PetscFinalize
         0     0% 28.21%        3ms  7.69%  PetscSetup::tearDownWorld
         0     0% 28.21%        3ms  7.69%  PetscSetupUtils::CommonFinalize
         0     0% 28.21%        3ms  7.69%  XOpenDisplay
         0     0% 28.21%        3ms  7.69%  [hwloc_gl.so]
         0     0% 28.21%        3ms  7.69%  [libxcb.so.1.1.0]
         0     0% 28.21%        3ms  7.69%  _XConnectXCB
       3ms  7.69% 35.90%        3ms  7.69%  __GI_munmap
         0     0% 35.90%        3ms  7.69%  __dlclose
       3ms  7.69% 43.59%        3ms  7.69%  __libc_openat64
         0     0% 43.59%        3ms  7.69%  _dl_close
         0     0% 43.59%        3ms  7.69%  _dl_close_worker (inline)
         0     0% 43.59%        3ms  7.69%  _dl_init
         0     0% 43.59%        3ms  7.69%  _dl_map_object_from_fd
         0     0% 43.59%        3ms  7.69%  _dl_map_segments (inline)
         0     0% 43.59%        3ms  7.69%  _dl_unmap
         0     0% 43.59%        3ms  7.69%  _dl_unmap_segments (inline)
         0     0% 43.59%        3ms  7.69%  call_init (inline)
         0     0% 43.59%        3ms  7.69%  mca_base_component_repository_release
         0     0% 43.59%        3ms  7.69%  ompi_mpi_finalize
         0     0% 43.59%        3ms  7.69%  xcb_connect_to_display_with_auth_info
         0     0% 43.59%        2ms  5.13%  [hwloc_pci.so]
         0     0% 43.59%        2ms  5.13%  [libpciaccess.so.0.11.1]
