File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3929ms, 79.53% of 4940ms total
Dropped 782 nodes (cum <= 24.70ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     4688ms 94.90%  __libc_start_call_main
         0     0%     0%     4688ms 94.90%  __libc_start_main_impl
         0     0%     0%     4688ms 94.90%  _start
         0     0%     0%     4673ms 94.60%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%     4673ms 94.60%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%     4673ms 94.60%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%     4673ms 94.60%  main
         0     0%     0%     4634ms 93.81%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%     4634ms 93.81%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%     4634ms 93.81%  TestRepresentativePottsBasedOnLatticeSimulation::TestPottsMonolayerCellSorting
         0     0%     0%     4622ms 93.56%  AbstractCellBasedSimulation::Solve
         0     0%     0%     4302ms 87.09%  AbstractCellPopulation::WriteResultsToFiles
      14ms  0.28%  0.28%     4066ms 82.31%  PottsBasedCellPopulation::WriteVtkResultsToFile
         0     0%  0.28%     1970ms 39.88%  VertexMeshWriter::WriteVtkUsingMesh
       2ms  0.04%  0.32%     1687ms 34.15%  VertexMeshWriter::MakeVtkMesh
         0     0%  0.32%     1241ms 25.12%  vtkPolygon::New
       1ms  0.02%  0.34%     1240ms 25.10%  vtkPolygon::vtkPolygon
       6ms  0.12%  0.47%      897ms 18.16%  vtkCell::vtkCell
       3ms 0.061%  0.53%      774ms 15.67%  VertexMeshWriter::WriteFiles
       5ms   0.1%  0.63%      757ms 15.32%  vtkPoints::New
       1ms  0.02%  0.65%      749ms 15.16%  std::ostream::operator<< (inline)
      44ms  0.89%  1.54%      748ms 15.14%  std::ostream::_M_insert
      14ms  0.28%  1.82%      706ms 14.29%  vtkPoints::vtkPoints
      38ms  0.77%  2.59%      636ms 12.87%  operator new
      64ms  1.30%  3.89%      636ms 12.87%  std::num_put::_M_insert_float
       2ms  0.04%  3.93%      619ms 12.53%  vtkQuad::New
