File: TestChasteBuildInfo
Type: cpu
Showing nodes accounting for 35ms, 100% of 35ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%       33ms 94.29%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%       33ms 94.29%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%       33ms 94.29%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%       33ms 94.29%  __libc_start_call_main
         0     0%     0%       33ms 94.29%  __libc_start_main_impl
         0     0%     0%       33ms 94.29%  _start
         0     0%     0%       33ms 94.29%  main
         0     0%     0%       31ms 88.57%  CxxTest::RealWorldDescription::setUp
         0     0%     0%       31ms 88.57%  PMPI_Init_thread
         0     0%     0%       31ms 88.57%  PetscInitialize
         0     0%     0%       31ms 88.57%  PetscSetup::setUpWorld
         0     0%     0%       31ms 88.57%  PetscSetupUtils::CommonSetup
         0     0%     0%       31ms 88.57%  PetscSetupUtils::InitialisePetsc
         0     0%     0%       31ms 88.57%  ompi_mpi_init
       3ms  8.57%  8.57%       27ms 77.14%  <unknown>
         0     0%  8.57%       23ms 65.71%  orte_init
         0     0%  8.57%       14ms 40.00%  hwloc_topology_load
         0     0%  8.57%       13ms 37.14%  hwloc_linux_get_tid_last_cpu_location
         0     0%  8.57%       12ms 34.29%  mca_base_framework_open
         0     0%  8.57%       11ms 31.43%  __GI__dl_catch_exception
         0     0%  8.57%       11ms 31.43%  ___dlopen
         0     0%  8.57%       11ms 31.43%  _dl_catch_error
         0     0%  8.57%       11ms 31.43%  _dl_open
         0     0%  8.57%       11ms 31.43%  _dlerror_run
         0     0%  8.57%       11ms 31.43%  dl_open_worker
         0     0%  8.57%       11ms 31.43%  dlopen_doit
         0     0%  8.57%       11ms 31.43%  dlopen_implementation (inline)
         0     0%  8.57%       11ms 31.43%  mca_base_framework_components_register
         0     0%  8.57%       11ms 31.43%  mca_base_framework_register
         0     0%  8.57%       10ms 28.57%  dl_open_worker_begin
         0     0%  8.57%       10ms 28.57%  mca_base_component_find
         0     0%  8.57%       10ms 28.57%  mca_base_component_repository_open
         0     0%  8.57%       10ms 28.57%  opal_stackframe_output
         0     0%  8.57%        6ms 17.14%  _dl_map_object
       5ms 14.29% 22.86%        5ms 14.29%  __GI___libc_read
         0     0% 22.86%        5ms 14.29%  _dl_map_object_from_fd
         0     0% 22.86%        5ms 14.29%  opal_hwloc_base_get_topology
         0     0% 22.86%        5ms 14.29%  orte_ess_base_proc_binding
         0     0% 22.86%        4ms 11.43%  _dl_open_relocate_one_object (inline)
         0     0% 22.86%        4ms 11.43%  _dl_relocate_object
         0     0% 22.86%        3ms  8.57%  XOpenDisplay
         0     0% 22.86%        3ms  8.57%  [hwloc_gl.so]
         0     0% 22.86%        3ms  8.57%  [libxcb.so.1.1.0]
         0     0% 22.86%        3ms  8.57%  _XConnectXCB
         0     0% 22.86%        3ms  8.57%  __GI_getaddrinfo
       3ms  8.57% 31.43%        3ms  8.57%  __libc_openat64
       3ms  8.57% 40.00%        3ms  8.57%  __mmap64
         0     0% 40.00%        3ms  8.57%  _dl_lookup_symbol_x
         0     0% 40.00%        3ms  8.57%  _dl_map_segments (inline)
       3ms  8.57% 48.57%        3ms  8.57%  do_lookup_x
         0     0% 48.57%        3ms  8.57%  elf_dynamic_do_Rela (inline)
         0     0% 48.57%        3ms  8.57%  elf_machine_rela (inline)
         0     0% 48.57%        3ms  8.57%  hwloc_topology_export_xmlbuffer
         0     0% 48.57%        3ms  8.57%  mca_base_framework_components_open
         0     0% 48.57%        3ms  8.57%  resolve_map (inline)
         0     0% 48.57%        3ms  8.57%  xcb_connect_to_display_with_auth_info
         0     0% 48.57%        2ms  5.71%  CxxTest::RealWorldDescription::tearDown
         0     0% 48.57%        2ms  5.71%  PetscFinalize
         0     0% 48.57%        2ms  5.71%  PetscSetup::tearDownWorld
         0     0% 48.57%        2ms  5.71%  PetscSetupUtils::CommonFinalize
         0     0% 48.57%        2ms  5.71%  [hwloc_pci.so]
         0     0% 48.57%        2ms  5.71%  [libpciaccess.so.0.11.1]
         0     0% 48.57%        2ms  5.71%  __GI__IO_getline_info
         0     0% 48.57%        2ms  5.71%  __GI___fgets_unlocked
         0     0% 48.57%        2ms  5.71%  __libc_calloc
         0     0% 48.57%        2ms  5.71%  _dl_map_object_deps
       2ms  5.71% 54.29%        2ms  5.71%  _int_malloc
