File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3828ms, 76.41% of 5010ms total
Dropped 741 nodes (cum <= 25.05ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     4752ms 94.85%  __libc_start_call_main
         0     0%     0%     4752ms 94.85%  __libc_start_main_impl
         0     0%     0%     4752ms 94.85%  _start
         0     0%     0%     4737ms 94.55%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%     4737ms 94.55%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%     4737ms 94.55%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%     4737ms 94.55%  main
         0     0%     0%     4698ms 93.77%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%     4698ms 93.77%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%     4698ms 93.77%  TestRepresentativePottsBasedOnLatticeSimulation::TestPottsMonolayerCellSorting
         0     0%     0%     4687ms 93.55%  AbstractCellBasedSimulation::Solve
         0     0%     0%     4361ms 87.05%  AbstractCellPopulation::WriteResultsToFiles
      14ms  0.28%  0.28%     4121ms 82.26%  PottsBasedCellPopulation::WriteVtkResultsToFile
         0     0%  0.28%     1994ms 39.80%  VertexMeshWriter::WriteVtkUsingMesh
       1ms  0.02%   0.3%     1713ms 34.19%  VertexMeshWriter::MakeVtkMesh
         0     0%   0.3%     1246ms 24.87%  vtkPolygon::New
       2ms  0.04%  0.34%     1244ms 24.83%  vtkPolygon::vtkPolygon
       7ms  0.14%  0.48%      893ms 17.82%  vtkCell::vtkCell
         0     0%  0.48%      794ms 15.85%  VertexMeshWriter::WriteFiles
       1ms  0.02%   0.5%      774ms 15.45%  vtkPoints::New
      55ms  1.10%  1.60%      767ms 15.31%  std::ostream::_M_insert
         0     0%  1.60%      759ms 15.15%  std::ostream::operator<< (inline)
       7ms  0.14%  1.74%      729ms 14.55%  vtkPoints::vtkPoints
      45ms   0.9%  2.63%      650ms 12.97%  operator new
      38ms  0.76%  3.39%      625ms 12.48%  std::num_put::_M_insert_float
     201ms  4.01%  7.41%      613ms 12.24%  __GI___libc_malloc
       1ms  0.02%  7.43%      599ms 11.96%  vtkStreamingDemandDrivenPipeline::Update
         0     0%  7.43%      599ms 11.96%  vtkXMLWriterBase::Write
         0     0%  7.43%      596ms 11.90%  vtkDemandDrivenPipeline::ProcessRequest
         0     0%  7.43%      595ms 11.88%  vtkStreamingDemandDrivenPipeline::ProcessRequest
         0     0%  7.43%      591ms 11.80%  vtkDemandDrivenPipeline::ExecuteData
         0     0%  7.43%      591ms 11.80%  vtkExecutive::CallAlgorithm
         0     0%  7.43%      590ms 11.78%  vtkCompositeDataPipeline::ExecuteData
         0     0%  7.43%      590ms 11.78%  vtkXMLUnstructuredDataWriter::ProcessRequest
       1ms  0.02%  7.45%      579ms 11.56%  vtkQuad::New
       3ms  0.06%  7.50%      574ms 11.46%  vtkQuad::vtkQuad
         0     0%  7.50%      564ms 11.26%  vtkLine::New
     180ms  3.59% 11.10%      548ms 10.94%  __GI___libc_free
       2ms  0.04% 11.14%      548ms 10.94%  vtkTriangle::New
      12ms  0.24% 11.38%      546ms 10.90%  vtkLine::vtkLine
       5ms   0.1% 11.48%      541ms 10.80%  vtkTriangle::vtkTriangle
         0     0% 11.48%      515ms 10.28%  vtkXMLUnstructuredDataWriter::WriteAPiece
         0     0% 11.48%      515ms 10.28%  vtkXMLUnstructuredGridWriter::WriteAppendedPieceData
      29ms  0.58% 12.06%      485ms  9.68%  vtkPoints::SetDataType
      18ms  0.36% 12.42%      477ms  9.52%  std::__cxx11::collate::do_transform
       1ms  0.02% 12.44%      458ms  9.14%  vtkXMLWriter::WriteBinaryData
         0     0% 12.44%      449ms  8.96%  vtkXMLWriter::WriteBinaryDataBlock
         0     0% 12.44%      449ms  8.96%  vtkXMLWriter::WriteBinaryDataInternal
       9ms  0.18% 12.61%      444ms  8.86%  ___vsnprintf
         0     0% 12.61%      437ms  8.72%  vtkXMLUnstructuredDataWriter::WriteAppendedPieceData
         0     0% 12.61%      435ms  8.68%  __vsnprintf_internal (inline)
      56ms  1.12% 13.73%      422ms  8.42%  __printf_buffer
       2ms  0.04% 13.77%      412ms  8.22%  vtkPolygon::~vtkPolygon
     230ms  4.59% 18.36%      367ms  7.33%  _int_free
         0     0% 18.36%      364ms  7.27%  AbstractTetrahedralMeshWriter::WriteFilesUsingMesh
         0     0% 18.36%      361ms  7.21%  VtkMeshWriter::WriteFiles
     246ms  4.91% 23.27%      355ms  7.09%  _int_malloc
       6ms  0.12% 23.39%      345ms  6.89%  vtkCell::~vtkCell
       1ms  0.02% 23.41%      337ms  6.73%  __printf_fp_spec (inline)
      13ms  0.26% 23.67%      336ms  6.71%  __printf_fp_l_buffer
         0     0% 23.67%      320ms  6.39%  vtkXMLWriter::WritePointsAppendedData
         0     0% 23.67%      314ms  6.27%  OnLatticeSimulation::UpdateCellLocationsAndTopology
       8ms  0.16% 23.83%      314ms  6.27%  PottsBasedCellPopulation::UpdateCellLocations
     158ms  3.15% 26.99%      305ms  6.09%  __printf_fp_buffer_1
      50ms     1% 27.98%      303ms  6.05%  std::__new_allocator::allocate (inline)
         0     0% 27.98%      302ms  6.03%  std::allocator_traits::allocate (inline)
      44ms  0.88% 28.86%      299ms  5.97%  vtkAOSDataArrayTemplate::vtkAOSDataArrayTemplate
       4ms  0.08% 28.94%      285ms  5.69%  std::__new_allocator::deallocate (inline)
         0     0% 28.94%      284ms  5.67%  std::allocator_traits::deallocate (inline)
         0     0% 28.94%      240ms  4.79%  vtkXMLWriter::WriteCompressionBlock
       9ms  0.18% 29.12%      232ms  4.63%  vtkPoints::~vtkPoints
         0     0% 29.12%      227ms  4.53%  tbb::detail::r1::parallel_pipeline
         0     0% 29.12%      223ms  4.45%  vtkDataCompressor::Compress
         0     0% 29.12%      222ms  4.43%  clone3
         0     0% 29.12%      222ms  4.43%  compress2
         0     0% 29.12%      222ms  4.43%  start_thread
         0     0% 29.12%      222ms  4.43%  vtkZLibDataCompressor::CompressBuffer
         0     0% 29.12%      220ms  4.39%  tbb::detail::r1::reset
      84ms  1.68% 30.80%      220ms  4.39%  tbb::detail::r1::wait_bounded_queue_monitor
      65ms  1.30% 32.10%      218ms  4.35%  crc32
         0     0% 32.10%      218ms  4.35%  deflate
       5ms   0.1% 32.20%      218ms  4.35%  vtkBase64OutputStream::Write
