File: TestChasteBuildInfo
Type: cpu
Showing nodes accounting for 33ms, 100% of 33ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%       32ms 96.97%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%       32ms 96.97%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%       32ms 96.97%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%       32ms 96.97%  __libc_start_call_main
         0     0%     0%       32ms 96.97%  __libc_start_main_impl
         0     0%     0%       32ms 96.97%  _start
         0     0%     0%       32ms 96.97%  main
         0     0%     0%       29ms 87.88%  CxxTest::RealWorldDescription::setUp
         0     0%     0%       29ms 87.88%  PMPI_Init_thread
         0     0%     0%       29ms 87.88%  PetscInitialize
         0     0%     0%       29ms 87.88%  PetscSetup::setUpWorld
         0     0%     0%       29ms 87.88%  PetscSetupUtils::CommonSetup
         0     0%     0%       29ms 87.88%  PetscSetupUtils::InitialisePetsc
         0     0%     0%       29ms 87.88%  ompi_mpi_init
       2ms  6.06%  6.06%       25ms 75.76%  <unknown>
         0     0%  6.06%       22ms 66.67%  orte_init
         0     0%  6.06%       14ms 42.42%  hwloc_topology_load
         0     0%  6.06%       12ms 36.36%  hwloc_linux_get_tid_last_cpu_location
         0     0%  6.06%        9ms 27.27%  __GI__dl_catch_exception
         0     0%  6.06%        9ms 27.27%  _dl_catch_error
         0     0%  6.06%        9ms 27.27%  _dlerror_run
         0     0%  6.06%        8ms 24.24%  mca_base_framework_open
         0     0%  6.06%        7ms 21.21%  mca_base_framework_components_register
         0     0%  6.06%        7ms 21.21%  mca_base_framework_register
         0     0%  6.06%        7ms 21.21%  opal_stackframe_output
         0     0%  6.06%        6ms 18.18%  ___dlopen
       1ms  3.03%  9.09%        6ms 18.18%  _dl_lookup_symbol_x
         0     0%  9.09%        6ms 18.18%  _dl_open
         0     0%  9.09%        6ms 18.18%  dl_open_worker
         0     0%  9.09%        6ms 18.18%  dlopen_doit
         0     0%  9.09%        6ms 18.18%  dlopen_implementation (inline)
         0     0%  9.09%        5ms 15.15%  dl_open_worker_begin
       5ms 15.15% 24.24%        5ms 15.15%  do_lookup_x
         0     0% 24.24%        5ms 15.15%  mca_base_component_find
         0     0% 24.24%        5ms 15.15%  mca_base_component_repository_open
         0     0% 24.24%        5ms 15.15%  opal_hwloc_base_get_topology
         0     0% 24.24%        5ms 15.15%  orte_ess_base_proc_binding
         0     0% 24.24%        4ms 12.12%  XOpenDisplay
         0     0% 24.24%        4ms 12.12%  [hwloc_gl.so]
         0     0% 24.24%        4ms 12.12%  _XConnectXCB
         0     0% 24.24%        4ms 12.12%  xcb_connect_to_display_with_auth_info
         0     0% 24.24%        3ms  9.09%  CxxTest::RealWorldDescription::tearDown
         0     0% 24.24%        3ms  9.09%  PetscFinalize
         0     0% 24.24%        3ms  9.09%  PetscSetup::tearDownWorld
         0     0% 24.24%        3ms  9.09%  PetscSetupUtils::CommonFinalize
         0     0% 24.24%        3ms  9.09%  [libxcb.so.1.1.0]
       3ms  9.09% 33.33%        3ms  9.09%  __libc_openat64
         0     0% 33.33%        3ms  9.09%  _dl_open_relocate_one_object (inline)
         0     0% 33.33%        3ms  9.09%  _dl_relocate_object
         0     0% 33.33%        3ms  9.09%  elf_dynamic_do_Rela (inline)
         0     0% 33.33%        3ms  9.09%  elf_machine_rela (inline)
         0     0% 33.33%        3ms  9.09%  mca_base_var_group_register
         0     0% 33.33%        3ms  9.09%  mca_base_var_register
         0     0% 33.33%        3ms  9.09%  ompi_mpi_finalize
         0     0% 33.33%        3ms  9.09%  resolve_map (inline)
       2ms  6.06% 39.39%        2ms  6.06%  __GI___getdents64
         0     0% 39.39%        2ms  6.06%  __GI___libc_free
         0     0% 39.39%        2ms  6.06%  __GI___libc_malloc
       2ms  6.06% 45.45%        2ms  6.06%  __GI___libc_read
         0     0% 45.45%        2ms  6.06%  __GI___readdir64
         0     0% 45.45%        2ms  6.06%  __dlclose
       2ms  6.06% 51.52%        2ms  6.06%  __libc_connect
       2ms  6.06% 57.58%        2ms  6.06%  __memset_avx2_unaligned_erms
         0     0% 57.58%        2ms  6.06%  _dl_close
         0     0% 57.58%        2ms  6.06%  _dl_close_worker (inline)
         0     0% 57.58%        2ms  6.06%  _dl_fixup
         0     0% 57.58%        2ms  6.06%  _dl_map_object
         0     0% 57.58%        2ms  6.06%  _dl_runtime_resolve_xsavec
       1ms  3.03% 60.61%        2ms  6.06%  _int_free
       2ms  6.06% 66.67%        2ms  6.06%  _int_malloc
         0     0% 66.67%        2ms  6.06%  hwloc_alloc_setup_object
         0     0% 66.67%        2ms  6.06%  hwloc_backend_enable
         0     0% 66.67%        2ms  6.06%  mca_base_component_repository_release
         0     0% 66.67%        2ms  6.06%  mca_base_component_var_register
         0     0% 66.67%        2ms  6.06%  mca_base_components_close
         0     0% 66.67%        2ms  6.06%  mca_base_framework_components_open
         0     0% 66.67%        2ms  6.06%  mca_topo_base_dist_graph_neighbors_count
         0     0% 66.67%        1ms  3.03%  [hwloc_pci.so]
       1ms  3.03% 69.70%        1ms  3.03%  [libpciaccess.so.0.11.1]
         0     0% 69.70%        1ms  3.03%  __GI__Fork
       1ms  3.03% 72.73%        1ms  3.03%  __GI___close
       1ms  3.03% 75.76%        1ms  3.03%  __GI___libc_realloc
       1ms  3.03% 78.79%        1ms  3.03%  __GI___poll
         0     0% 78.79%        1ms  3.03%  __GI_memcpy (inline)
       1ms  3.03% 81.82%        1ms  3.03%  __GI_munmap
       1ms  3.03% 84.85%        1ms  3.03%  __GI_socket
         0     0% 84.85%        1ms  3.03%  ___asprintf_chk
         0     0% 84.85%        1ms  3.03%  ___dlsym
         0     0% 84.85%        1ms  3.03%  ___snprintf_chk
         0     0% 84.85%        1ms  3.03%  __glob
         0     0% 84.85%        1ms  3.03%  __libc_fork
       1ms  3.03% 87.88%        1ms  3.03%  __memcpy_avx_unaligned_erms
         0     0% 87.88%        1ms  3.03%  __printf_buffer
         0     0% 87.88%        1ms  3.03%  __printf_buffer_write
         0     0% 87.88%        1ms  3.03%  __vasprintf_internal
         0     0% 87.88%        1ms  3.03%  __vsnprintf_internal
         0     0% 87.88%        1ms  3.03%  _dl_init
         0     0% 87.88%        1ms  3.03%  _dl_map_object_deps
       1ms  3.03% 90.91%        1ms  3.03%  _dl_map_object_from_fd
         0     0% 90.91%        1ms  3.03%  _dl_name_match_p
         0     0% 90.91%        1ms  3.03%  _dl_sym
         0     0% 90.91%        1ms  3.03%  _dl_unmap
         0     0% 90.91%        1ms  3.03%  _dl_unmap_segments (inline)
         0     0% 90.91%        1ms  3.03%  _int_free_maybe_consolidate
       1ms  3.03% 93.94%        1ms  3.03%  arch_fork (inline)
         0     0% 93.94%        1ms  3.03%  call_init (inline)
         0     0% 93.94%        1ms  3.03%  clone3
         0     0% 93.94%        1ms  3.03%  dlsym_doit
         0     0% 93.94%        1ms  3.03%  dlsym_implementation (inline)
         0     0% 93.94%        1ms  3.03%  do_sym (inline)
         0     0% 93.94%        1ms  3.03%  event_base_loop
         0     0% 93.94%        1ms  3.03%  event_debugx_
         0     0% 93.94%        1ms  3.03%  free (inline)
         0     0% 93.94%        1ms  3.03%  glob_in_dir
         0     0% 93.94%        1ms  3.03%  hwloc_topology_export_xmlbuffer
       1ms  3.03% 96.97%        1ms  3.03%  malloc_consolidate
         0     0% 96.97%        1ms  3.03%  mca_base_framework_close
         0     0% 96.97%        1ms  3.03%  mca_base_select
         0     0% 96.97%        1ms  3.03%  mca_base_var_finalize
         0     0% 96.97%        1ms  3.03%  mca_base_var_group_add_enum
         0     0% 96.97%        1ms  3.03%  mca_base_var_group_finalize
         0     0% 96.97%        1ms  3.03%  ompi_errhandler_finalize
         0     0% 96.97%        1ms  3.03%  ompi_proc_init
         0     0% 96.97%        1ms  3.03%  opal_dss_print
         0     0% 96.97%        1ms  3.03%  opal_finalize_util
         0     0% 96.97%        1ms  3.03%  opal_hash_table_init2
         0     0% 96.97%        1ms  3.03%  opal_hwloc_base_membind
         0     0% 96.97%        1ms  3.03%  opal_init
         0     0% 96.97%        1ms  3.03%  opal_timer_base_get_freq
         0     0% 96.97%        1ms  3.03%  openaux
         0     0% 96.97%        1ms  3.03%  orte_finalize
         0     0% 96.97%        1ms  3.03%  orte_register_params
         0     0% 96.97%        1ms  3.03%  orte_state_base_select
         0     0% 96.97%        1ms  3.03%  pci_get_strings
         0     0% 96.97%        1ms  3.03%  start_thread
       1ms  3.03%   100%        1ms  3.03%  strcmp
